,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,0.002,0.013,0.053,0.145,0.145,0.145,0.145,0.145,0.145
ACSA3,0.000,0.004,0.031,0.125,0.311,0.311,0.311,0.311,0.311
BRPO,0.000,0.002,0.012,0.066,0.249,0.249,0.249,0.249,0.249
CEFL,0.001,0.012,0.069,0.226,0.481,0.481,0.481,0.481,0.481
CHLI,0.000,0.003,0.020,0.088,0.254,0.254,0.254,0.254,0.254
EUMI2,0.000,0.005,0.030,0.115,0.267,0.495,0.495,0.495,0.495
FRUH,0.001,0.006,0.030,0.103,0.223,0.366,0.366,0.366,0.366
FRVE,0.000,0.006,0.029,0.084,0.163,0.265,0.385,0.385,0.385
MOAL,0.001,0.010,0.036,0.083,0.138,0.202,0.270,0.341,0.341
OLEU,0.000,0.005,0.024,0.066,0.125,0.198,0.198,0.198,0.198
PAAC,0.001,0.012,0.054,0.144,0.268,0.418,0.418,0.418,0.418
PHCA,0.002,0.020,0.092,0.285,0.285,0.285,0.285,0.285,0.285
PHDA4,0.001,0.010,0.028,0.045,0.062,0.062,0.062,0.062,0.062
PIBR2,0.000,0.003,0.019,0.069,0.148,0.148,0.148,0.148,0.148
PICH,0.001,0.006,0.044,0.257,0.257,0.257,0.257,0.257,0.257
PICO5,0.000,0.004,0.026,0.124,0.124,0.124,0.124,0.124,0.124
PIEL2,0.000,0.003,0.024,0.103,0.249,0.249,0.249,0.249,0.249
PIHA,0.001,0.003,0.010,0.040,0.111,0.253,0.511,0.951,0.951
PRCH,0.001,0.010,0.050,0.151,0.302,0.498,0.498,0.498,0.498
QUVI,0.001,0.006,0.033,0.125,0.294,0.527,0.527,0.527,0.527
RHLA,0.001,0.007,0.035,0.113,0.221,0.300,0.300,0.300,0.300
ULPA,0.001,0.012,0.072,0.298,0.748,0.748,0.748,0.748,0.748
WAFI,0.000,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
WARO,0.000,0.001,0.009,0.025,0.025,0.025,0.025,0.025,0.025
BDL OTHER,0.001,0.006,0.030,0.103,0.223,0.366,0.366,0.366,0.366
BDM OTHER,0.001,0.010,0.050,0.151,0.302,0.498,0.498,0.498,0.498
BDS OTHER,0.002,0.013,0.053,0.145,0.145,0.145,0.145,0.145,0.145
CEL OTHER,0.001,0.003,0.010,0.040,0.111,0.253,0.511,0.951,0.951
CEM OTHER,0.000,0.003,0.019,0.069,0.148,0.148,0.148,0.148,0.148
CES OTHER,0.000,0.004,0.026,0.124,0.124,0.124,0.124,0.124,0.124
BEL OTHER,0.000,0.005,0.030,0.115,0.267,0.495,0.495,0.495,0.495
BEM OTHER,0.000,0.002,0.012,0.066,0.249,0.249,0.249,0.249,0.249
BES OTHER,0.001,0.007,0.035,0.113,0.221,0.300,0.300,0.300,0.300
PEL OTHER,0.002,0.020,0.092,0.285,0.285,0.285,0.285,0.285,0.285
PEM OTHER,0.001,0.010,0.028,0.045,0.062,0.062,0.062,0.062,0.062
PES OTHER,0.000,0.001,0.009,0.025,0.025,0.025,0.025,0.025,0.025
