,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,0.0065,0.0205,0.0483,0.0830,0.0830,0.0830,0.0830,0.0830,0.0830
ACSA3,0.0007,0.0131,0.0487,0.1097,0.1213,0.1686,0.1686,0.1686,0.1686
BRPO,0.0019,0.0082,0.0270,0.0741,0.0986,0.1380,0.1380,0.1380,0.1380
CEFL,0.0031,0.0307,0.0920,0.1797,0.1805,0.2570,0.2570,0.2570,0.2570
CHLI,0.0025,0.0144,0.0478,0.1163,0.1393,0.1943,0.1943,0.1943,0.1943
EUMI2,0.0018,0.0183,0.0598,0.1278,0.1362,0.2592,0.2592,0.2592,0.2592
FRUH,0.0041,0.0193,0.0563,0.1181,0.1237,0.2203,0.2203,0.2203,0.2203
FRVE,0.0025,0.0221,0.0606,0.1132,0.1135,0.2019,0.2423,0.2423,0.2423
MOAL,0.0069,0.0338,0.0735,0.1216,0.1126,0.1941,0.2248,0.2526,0.2526
OLEU,0.0016,0.0123,0.0327,0.0612,0.0619,0.1081,0.1081,0.1081,0.1081
PAAC,0.0043,0.0302,0.0751,0.1326,0.1288,0.2252,0.2252,0.2252,0.2252
PHCA,0.0052,0.0320,0.0824,0.1492,0.1060,0.1470,0.1429,0.1387,0.1387
PHDA4,0.0016,0.0118,0.0222,0.0287,0.0232,0.0325,0.0316,0.0307,0.0307
PIBR2,0.0018,0.0094,0.0283,0.0597,0.0616,0.0849,0.0849,0.0849,0.0849
PICH,0.0041,0.0192,0.0635,0.1642,0.1182,0.1642,0.1642,0.1642,0.1642
PICO5,0.0016,0.0087,0.0291,0.0690,0.0503,0.0690,0.0690,0.0690,0.0690
PIEL2,0.0010,0.0106,0.0404,0.0944,0.1025,0.1423,0.1423,0.1423,0.1423
PIHA,0.0027,0.0110,0.0364,0.0932,0.1170,0.2512,0.3538,0.4725,0.4725
PRCH,0.0031,0.0273,0.0786,0.1501,0.1513,0.2712,0.2712,0.2712,0.2712
QUVI,0.0045,0.0212,0.0599,0.1295,0.1430,0.2631,0.2631,0.2631,0.2631
RHLA,0.0043,0.0172,0.0478,0.0960,0.0966,0.1567,0.1567,0.1567,0.1567
ULPA,0.0070,0.0416,0.1293,0.2819,0.3033,0.4363,0.4363,0.4363,0.4363
WAFI,0.0007,0.0744,0.0826,0.0853,0.0587,0.0809,0.0781,0.0761,0.0761
WARO,0.0000,0.0027,0.0080,0.0137,0.0094,0.0128,0.0126,0.0120,0.0118
BDL OTHER,0.0041,0.0193,0.0563,0.1181,0.1237,0.2203,0.2203,0.2203,0.2203
BDM OTHER,0.0031,0.0273,0.0786,0.1501,0.1513,0.2712,0.2712,0.2712,0.2712
BDS OTHER,0.0065,0.0205,0.0483,0.0830,0.0830,0.0830,0.0830,0.0830,0.0830
CEL OTHER,0.0027,0.0110,0.0364,0.0932,0.1170,0.2512,0.3538,0.4725,0.4725
CEM OTHER,0.0018,0.0094,0.0283,0.0597,0.0616,0.0849,0.0849,0.0849,0.0849
CES OTHER,0.0016,0.0087,0.0291,0.0690,0.0503,0.0690,0.0690,0.0690,0.0690
BEL OTHER,0.0018,0.0183,0.0598,0.1278,0.1362,0.2592,0.2592,0.2592,0.2592
BEM OTHER,0.0019,0.0082,0.0270,0.0741,0.0986,0.1380,0.1380,0.1380,0.1380
BES OTHER,0.0043,0.0172,0.0478,0.0960,0.0966,0.1567,0.1567,0.1567,0.1567
PEL OTHER,0.0052,0.0320,0.0824,0.1492,0.1060,0.1470,0.1429,0.1387,0.1387
PEM OTHER,0.0016,0.0118,0.0222,0.0287,0.0232,0.0325,0.0316,0.0307,0.0307
PES OTHER,0.0000,0.0027,0.0080,0.0137,0.0094,0.0128,0.0126,0.0120,0.0118
