,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,0.000,0.001,0.006,0.017,0.017,0.017,0.017,0.017,0.017
ACSA3,0.000,0.000,0.003,0.014,0.037,0.037,0.037,0.037,0.037
BRPO,0.000,0.000,0.001,0.007,0.029,0.029,0.029,0.029,0.029
CEFL,0.000,0.001,0.007,0.025,0.055,0.055,0.055,0.055,0.055
CHLI,0.000,0.000,0.001,0.008,0.025,0.025,0.025,0.025,0.025
EUMI2,0.000,0.000,0.003,0.012,0.031,0.058,0.058,0.058,0.058
FRUH,0.000,0.000,0.002,0.010,0.023,0.039,0.039,0.039,0.039
FRVE,0.000,0.000,0.002,0.008,0.016,0.027,0.041,0.041,0.041
MOAL,0.000,0.001,0.003,0.007,0.013,0.020,0.027,0.034,0.034
OLEU,0.000,0.000,0.002,0.007,0.014,0.023,0.023,0.023,0.023
PAAC,0.000,0.001,0.005,0.016,0.030,0.048,0.048,0.048,0.048
PHCA,0.000,0.002,0.010,0.034,0.034,0.034,0.034,0.034,0.034
PHDA4,0.000,0.001,0.003,0.005,0.007,0.007,0.007,0.007,0.007
PIBR2,0.000,0.000,0.002,0.008,0.018,0.018,0.018,0.018,0.018
PICH,0.000,0.000,0.004,0.027,0.027,0.027,0.027,0.027,0.027
PICO5,0.000,0.000,0.003,0.015,0.015,0.015,0.015,0.015,0.015
PIEL2,0.000,0.000,0.002,0.012,0.029,0.029,0.029,0.029,0.029
PIHA,0.000,0.000,0.001,0.003,0.010,0.027,0.058,0.112,0.112
PRCH,0.000,0.001,0.005,0.016,0.034,0.057,0.057,0.057,0.057
QUVI,0.000,0.000,0.003,0.013,0.034,0.062,0.062,0.062,0.062
RHLA,0.000,0.000,0.003,0.013,0.026,0.035,0.035,0.035,0.035
ULPA,0.000,0.001,0.006,0.030,0.079,0.079,0.079,0.079,0.079
WAFI,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
WARO,0.000,0.000,0.001,0.003,0.003,0.003,0.003,0.003,0.003
BDL OTHER,0.000,0.000,0.002,0.010,0.023,0.039,0.039,0.039,0.039
BDM OTHER,0.000,0.001,0.005,0.016,0.034,0.057,0.057,0.057,0.057
BDS OTHER,0.000,0.001,0.006,0.017,0.017,0.017,0.017,0.017,0.017
CEL OTHER,0.000,0.000,0.001,0.003,0.010,0.027,0.058,0.112,0.112
CEM OTHER,0.000,0.000,0.002,0.008,0.018,0.018,0.018,0.018,0.018
CES OTHER,0.000,0.000,0.003,0.015,0.015,0.015,0.015,0.015,0.015
BEL OTHER,0.000,0.000,0.003,0.012,0.031,0.058,0.058,0.058,0.058
BEM OTHER,0.000,0.000,0.001,0.007,0.029,0.029,0.029,0.029,0.029
BES OTHER,0.000,0.000,0.003,0.013,0.026,0.035,0.035,0.035,0.035
PEL OTHER,0.000,0.002,0.010,0.034,0.034,0.034,0.034,0.034,0.034
PEM OTHER,0.000,0.001,0.003,0.005,0.007,0.007,0.007,0.007,0.007
PES OTHER,0.000,0.000,0.001,0.003,0.003,0.003,0.003,0.003,0.003
