,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,0.0001,0.0002,0.0005,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
ACSA3,0.0000,0.0001,0.0005,0.0011,0.0013,0.0017,0.0017,0.0017,0.0017
BRPO,0.0000,0.0001,0.0003,0.0008,0.0010,0.0014,0.0014,0.0014,0.0014
CEFL,0.0000,0.0003,0.0010,0.0019,0.0019,0.0027,0.0027,0.0027,0.0027
CHLI,0.0000,0.0002,0.0005,0.0012,0.0015,0.0020,0.0020,0.0020,0.0020
EUMI2,0.0000,0.0002,0.0006,0.0013,0.0014,0.0027,0.0027,0.0027,0.0027
FRUH,0.0000,0.0002,0.0006,0.0012,0.0013,0.0023,0.0023,0.0023,0.0023
FRVE,0.0000,0.0002,0.0006,0.0012,0.0012,0.0021,0.0025,0.0025,0.0025
MOAL,0.0001,0.0004,0.0008,0.0013,0.0012,0.0020,0.0023,0.0026,0.0026
OLEU,0.0000,0.0001,0.0003,0.0006,0.0007,0.0011,0.0011,0.0011,0.0011
PAAC,0.0000,0.0003,0.0008,0.0014,0.0014,0.0023,0.0023,0.0023,0.0023
PHCA,0.0001,0.0003,0.0009,0.0016,0.0011,0.0015,0.0015,0.0015,0.0015
PHDA4,0.0000,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
PIBR2,0.0000,0.0001,0.0003,0.0006,0.0007,0.0009,0.0009,0.0009,0.0009
PICH,0.0000,0.0002,0.0007,0.0017,0.0013,0.0017,0.0017,0.0017,0.0017
PICO5,0.0000,0.0001,0.0003,0.0007,0.0005,0.0007,0.0007,0.0007,0.0007
PIEL2,0.0000,0.0001,0.0004,0.0010,0.0011,0.0015,0.0015,0.0015,0.0015
PIHA,0.0000,0.0001,0.0004,0.0010,0.0012,0.0026,0.0036,0.0048,0.0048
PRCH,0.0000,0.0003,0.0008,0.0016,0.0016,0.0028,0.0028,0.0028,0.0028
QUVI,0.0000,0.0002,0.0006,0.0013,0.0015,0.0027,0.0027,0.0027,0.0027
RHLA,0.0000,0.0002,0.0005,0.0010,0.0010,0.0016,0.0016,0.0016,0.0016
ULPA,0.0001,0.0004,0.0014,0.0029,0.0032,0.0045,0.0045,0.0045,0.0045
WAFI,0.0000,0.0008,0.0009,0.0009,0.0006,0.0009,0.0008,0.0008,0.0008
WARO,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
BDL OTHER,0.0000,0.0002,0.0006,0.0012,0.0013,0.0023,0.0023,0.0023,0.0023
BDM OTHER,0.0000,0.0003,0.0008,0.0016,0.0016,0.0028,0.0028,0.0028,0.0028
BDS OTHER,0.0001,0.0002,0.0005,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
CEL OTHER,0.0000,0.0001,0.0004,0.0010,0.0012,0.0026,0.0036,0.0048,0.0048
CEM OTHER,0.0000,0.0001,0.0003,0.0006,0.0007,0.0009,0.0009,0.0009,0.0009
CES OTHER,0.0000,0.0001,0.0003,0.0007,0.0005,0.0007,0.0007,0.0007,0.0007
BEL OTHER,0.0000,0.0002,0.0006,0.0013,0.0014,0.0027,0.0027,0.0027,0.0027
BEM OTHER,0.0000,0.0001,0.0003,0.0008,0.0010,0.0014,0.0014,0.0014,0.0014
BES OTHER,0.0000,0.0002,0.0005,0.0010,0.0010,0.0016,0.0016,0.0016,0.0016
PEL OTHER,0.0001,0.0003,0.0009,0.0016,0.0011,0.0015,0.0015,0.0015,0.0015
PEM OTHER,0.0000,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
PES OTHER,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
