,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACFA,0.0,0.5,2.7,9.2,9.2,9.2,9.2,9.2,9.2,,,,
ACSA3,0.0,0.5,3.0,10.7,24.4,24.4,24.4,24.4,24.4,,,,
BRPO,0.0,0.3,1.7,6.4,15.3,15.3,15.3,15.3,15.3,,,,
CEFL,0.0,0.3,1.4,4.6,10.0,10.0,10.0,10.0,10.0,,,,
CHLI,0.0,0.0,0.1,0.4,0.8,0.8,0.8,0.8,0.8,,,,
EUMI2,0.0,0.4,2.5,9.5,23.2,44.5,44.5,44.5,44.5,,,,
FRUH,0.0,0.3,1.4,5.6,14.3,28.9,28.9,28.9,28.9,,,,
FRVE,0.0,0.3,1.5,5.1,11.1,19.8,31.2,31.2,31.2,,,,
MOAL,0.0,0.2,1.4,5.0,11.8,22.4,37.1,56.5,56.5,,,,
OLEU,0.0,0.1,0.9,3.3,7.6,13.9,13.9,13.9,13.9,,,,
PAAC,0.0,0.3,1.3,3.9,8.0,13.5,13.5,13.5,13.5,,,,
PHCA,0.4,0.7,1.2,1.7,2.1,2.5,2.7,2.7,2.7,,,,
PHDA4,0.3,0.5,1.1,1.7,2.3,2.8,3.1,3.1,3.1,,,,
PIBR2,0.0,0.2,1.1,4.1,9.4,9.4,9.4,9.4,9.4,,,,
PICH,0.0,0.2,1.1,4.8,4.8,4.8,4.8,4.8,4.8,,,,
PICO5,0.0,0.2,1.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,
PIEL2,0.0,0.1,1.0,3.8,9.1,9.1,9.1,9.1,9.1,,,,
PIHA,0.0,0.1,0.8,3.5,8.9,17.7,30.4,47.1,47.1,,,,
PRCH,0.0,0.2,1.3,4.5,9.8,17.4,17.4,17.4,17.4,,,,
QUVI,0.0,0.7,3.1,9.3,19.0,32.4,32.4,32.4,32.4,,,,
RHLA,0.0,0.1,0.7,2.5,5.8,10.5,10.5,10.5,10.5,,,,
ULPA,0.0,0.3,1.9,6.9,16.2,16.2,16.2,16.2,16.2,,,,
WAFI,0.3,0.6,1.1,1.6,2.0,2.3,2.7,2.7,2.7,,,,
WARO,0.6,1.1,2.0,2.7,3.3,3.7,4.0,4.1,4.1,,,,
BDL OTHER,0.0,0.3,1.4,5.6,14.3,28.9,28.9,28.9,28.9,,,,
BDM OTHER,0.0,0.2,1.3,4.5,9.8,17.4,17.4,17.4,17.4,,,,
BDS OTHER,0.0,0.5,2.7,9.2,9.2,9.2,9.2,9.2,9.2,,,,
CEL OTHER,0.0,0.1,0.8,3.5,8.9,17.7,30.4,47.1,47.1,,,,
CEM OTHER,0.0,0.2,1.1,4.1,9.4,9.4,9.4,9.4,9.4,,,,
CES OTHER,0.0,0.2,1.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,
BEL OTHER,0.0,0.4,2.5,9.5,23.2,44.5,44.5,44.5,44.5,,,,
BEM OTHER,0.0,0.3,1.7,6.4,15.3,15.3,15.3,15.3,15.3,,,,
BES OTHER,0.0,0.1,0.7,2.5,5.8,10.5,10.5,10.5,10.5,,,,
PEL OTHER,0.4,0.7,1.2,1.7,2.1,2.5,2.7,2.7,2.7,,,,
PEM OTHER,0.3,0.5,1.1,1.7,2.3,2.8,3.1,3.1,3.1,,,,
PES OTHER,0.6,1.1,2.0,2.7,3.3,3.7,4.0,4.1,4.1,,,,
