,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACFA,3.7,14.5,40.4,81.7,0.0,0.0,0.0,0.0,0.0,,,,
ACSA3,7.6,31.9,73.6,113.7,139.7,0.0,0.0,0.0,0.0,,,,
BRPO,0.8,8.5,22.4,38.2,12.2,0.0,0.0,0.0,0.0,,,,
CEFL,1.2,9.3,32.1,71.5,122.7,0.0,0.0,0.0,0.0,,,,
CHLI,1.0,5.2,13.6,28.1,45.0,0.0,0.0,0.0,0.0,,,,
EUMI2,5.0,23.6,78.0,142.6,197.9,178.4,0.0,0.0,0.0,,,,
FRUH,1.4,7.2,26.1,80.3,165.7,286.0,0.0,0.0,0.0,,,,
FRVE,0.9,7.5,30.1,70.5,127.7,197.7,275.0,0.0,0.0,,,,
MOAL,1.1,8.9,27.5,46.6,58.8,67.0,71.1,72.5,0.0,,,,
OLEU,1.1,6.6,14.5,21.1,23.5,23.9,0.0,0.0,0.0,,,,
PAAC,1.6,7.7,20.9,43.7,72.6,105.8,0.0,0.0,0.0,,,,
PHCA,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1,,,,
PHDA4,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0,,,,
PIBR2,3.6,15.9,47.0,77.0,67.9,0.0,0.0,0.0,0.0,,,,
PICH,1.2,7.2,19.4,32.5,0.0,0.0,0.0,0.0,0.0,,,,
PICO5,1.0,7.6,19.3,18.3,0.0,0.0,0.0,0.0,0.0,,,,
PIEL2,0.9,4.9,15.0,30.5,39.2,0.0,0.0,0.0,0.0,,,,
PIHA,0.6,6.1,24.0,52.2,79.8,99.4,97.9,33.3,0.0,,,,
PRCH,3.1,12.9,29.9,54.5,77.5,96.0,0.0,0.0,0.0,,,,
QUVI,3.4,20.9,64.9,163.4,258.7,385.2,0.0,0.0,0.0,,,,
RHLA,0.7,4.3,11.7,25.2,38.8,48.7,0.0,0.0,0.0,,,,
ULPA,1.6,11.7,35.8,74.8,126.5,0.0,0.0,0.0,0.0,,,,
WAFI,6.5,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
WARO,13.6,12.8,12.1,11.1,10.2,0.0,0.0,0.0,0.0,,,,
BDL OTHER,1.4,7.2,26.1,80.3,165.7,286.0,0.0,0.0,0.0,,,,
BDM OTHER,3.1,12.9,29.9,54.5,77.5,96.0,0.0,0.0,0.0,,,,
BDS OTHER,3.7,14.5,40.4,81.7,0.0,0.0,0.0,0.0,0.0,,,,
CEL OTHER,0.6,6.1,24.0,52.2,79.8,99.4,97.9,33.3,0.0,,,,
CEM OTHER,3.6,15.9,47.0,77.0,67.9,0.0,0.0,0.0,0.0,,,,
CES OTHER,1.0,7.6,19.3,18.3,0.0,0.0,0.0,0.0,0.0,,,,
BEL OTHER,5.0,23.6,78.0,142.6,197.9,178.4,0.0,0.0,0.0,,,,
BEM OTHER,0.8,8.5,22.4,38.2,12.2,0.0,0.0,0.0,0.0,,,,
BES OTHER,0.7,4.3,11.7,25.2,38.8,48.7,0.0,0.0,0.0,,,,
PEL OTHER,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1,,,,
PEM OTHER,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0,,,,
PES OTHER,13.6,12.8,12.1,11.1,10.2,0.0,0.0,0.0,0.0,,,,
