,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACFA,5.0,14.6,33.1,56.4,56.4,56.4,56.4,56.4,56.4,,,
ACSA3,0.6,8.6,31.0,69.3,111.7,111.7,111.7,111.7,111.7,,,
BRPO,1.3,5.1,16.4,44.0,89.6,89.6,89.6,89.6,89.6,,,
CEFL,2.6,22.4,64.6,125.9,187.1,187.1,187.1,187.1,187.1,,,
CHLI,2.0,10.3,33.3,79.9,140.2,140.2,140.2,140.2,140.2,,,
EUMI2,0.9,10.8,37.1,81.0,128.8,178.1,178.1,178.1,178.1,,,
FRUH,2.8,13.0,37.0,76.6,116.2,150.7,150.7,150.7,150.7,,,
FRVE,2.0,14.9,40.0,74.6,107.9,139.7,170.0,170.0,170.0,,,
MOAL,5.2,25.0,54.0,87.7,117.0,143.1,166.8,188.5,188.5,,,
OLEU,1.4,8.9,22.2,39.6,55.9,71.0,71.0,71.0,71.0,,,
PAAC,3.5,21.6,52.7,92.4,128.9,162.6,162.6,162.6,162.6,,,
PHCA,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PHDA4,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PIBR2,1.3,6.0,17.2,35.8,53.4,53.4,53.4,53.4,53.4,,,
PICH,3.1,13.3,43.1,113.4,113.4,113.4,113.4,113.4,113.4,,,
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PIEL2,0.8,7.0,24.4,56.2,89.5,89.5,89.5,89.5,89.5,,,
PIHA,2.3,8.1,23.5,56.7,104.7,168.0,246.9,341.8,341.8,,,
PRCH,2.5,19.9,54.4,102.4,149.1,193.9,193.9,193.9,193.9,,,
QUVI,3.5,14.2,40.3,87.3,139.5,189.3,189.3,189.3,189.3,,,
RHLA,3.4,12.5,33.0,64.6,91.8,107.8,107.8,107.8,107.8,,,
ULPA,5.4,28.7,90.1,203.4,330.3,330.3,330.3,330.3,330.3,,,
WAFI,0.4,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,,,
WARO,0.2,1.8,5.2,8.9,8.9,8.9,8.9,8.9,8.9,,,
BDL OTHER,2.8,13.0,37.0,76.6,116.2,150.7,150.7,150.7,150.7,,,
BDM OTHER,2.5,19.9,54.4,102.4,149.1,193.9,193.9,193.9,193.9,,,
BDS OTHER,5.0,14.6,33.1,56.4,56.4,56.4,56.4,56.4,56.4,,,
CEL OTHER,2.3,8.1,23.5,56.7,104.7,168.0,246.9,341.8,341.8,,,
CEM OTHER,1.3,6.0,17.2,35.8,53.4,53.4,53.4,53.4,53.4,,,
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
BEL OTHER,0.9,10.8,37.1,81.0,128.8,178.1,178.1,178.1,178.1,,,
BEM OTHER,1.3,5.1,16.4,44.0,89.6,89.6,89.6,89.6,89.6,,,
BES OTHER,3.4,12.5,33.0,64.6,91.8,107.8,107.8,107.8,107.8,,,
PEL OTHER,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PEM OTHER,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PES OTHER,0.2,1.8,5.2,8.9,8.9,8.9,8.9,8.9,8.9,,,
