,5,10,20,30,40,50,60,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFA,8.3,14.0,25.5,37.0,37.0,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA3,10.1,20.3,36.2,48.3,48.3,48.4,48.4,48.4,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRPO,6.4,12.3,23.1,32.2,39.7,45.7,50.0,52.7,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFL,6.4,13.1,29.6,50.0,50.0,50.0,50.0,50.0,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLI,5.4,10.9,21.8,32.7,43.6,54.5,54.5,54.5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMI2,11.9,22.8,41.6,56.6,67.6,74.8,74.8,74.8,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUH,6.3,11.7,24.3,39.1,56.0,56.0,56.0,56.1,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRVE,4.9,9.4,21.4,37.3,56.9,80.4,80.4,80.4,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOAL,9.4,18.8,33.3,44.4,53.5,61.4,68.3,74.5,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEU,8.5,16.4,28.3,37.2,44.4,50.6,56.0,60.8,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAAC,6.2,11.8,24.7,40.0,57.9,57.9,57.9,57.9,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHCA,1.8,3.9,7.8,11.1,14.0,16.4,18.4,19.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHDA4,1.4,3.2,7.1,11.4,15.4,18.6,20.5,20.6,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIBR2,12.7,27.7,49.2,59.6,59.7,59.7,59.7,59.7,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICH,7.3,14.0,25.6,35.0,42.0,46.7,46.7,46.7,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICO5,4.0,12.5,26.2,35.5,40.5,40.5,40.5,40.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIEL2,6.1,11.9,23.0,33.1,42.2,50.5,50.5,50.5,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIHA,9.9,19.2,36.3,51.5,64.5,75.6,84.5,91.5,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRCH,9.3,18.3,35.2,50.9,65.2,65.2,65.2,65.2,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUVI,5.4,10.7,27.1,50.9,50.9,50.9,50.9,50.9,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHLA,8.3,15.1,28.2,40.7,52.7,64.1,64.1,64.1,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULPA,6.6,13.2,26.5,39.7,52.9,52.9,52.9,53.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAFI,1.8,3.6,7.0,10.2,13.1,15.6,17.8,17.8,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
