,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,9.1,29.6,69.5,119.3,119.3,119.3,119.3,119.3,119.3
ACSA3,0.9,18.7,69.5,156.7,188.7,241.7,241.7,241.7,241.7
BRPO,2.7,11.6,38.3,105.4,153.0,197.2,197.2,197.2,197.2
CEFL,4.6,44.4,132.6,259.3,286.0,371.8,371.8,371.8,371.8
CHLI,3.7,20.7,68.8,167.4,219.2,281.0,281.0,281.0,281.0
EUMI2,2.5,26.0,85.1,182.4,212.9,372.6,372.6,372.6,372.6
FRUH,5.9,27.7,80.6,168.9,193.0,316.4,316.4,316.4,316.4
FRVE,3.5,31.6,86.9,162.1,177.3,290.6,349.1,349.1,349.1
MOAL,9.9,49.0,106.5,176.0,178.5,281.4,326.0,366.5,366.5
OLEU,2.3,17.7,47.0,87.6,95.8,154.8,154.8,154.8,154.8
PAAC,6.3,43.6,108.4,191.2,202.7,325.7,325.7,325.7,325.7
PHCA,7.5,46.3,118.5,214.7,166.2,211.8,206.5,201.1,201.1
PHDA4,2.3,17.0,31.7,41.0,36.3,46.6,45.4,44.2,44.2
PIBR2,2.6,13.3,40.1,84.8,95.0,121.0,121.0,121.0,121.0
PICH,5.8,27.6,91.2,236.3,184.7,236.3,236.3,236.3,236.3
PICO5,2.3,12.6,41.7,98.7,77.6,98.7,98.7,98.7,98.7
PIEL2,1.5,15.1,57.4,134.1,158.1,202.8,202.8,202.8,202.8
PIHA,3.9,15.9,52.0,132.7,181.3,360.3,509.0,681.5,681.5
PRCH,4.6,39.4,113.3,216.1,237.7,391.7,391.7,391.7,391.7
QUVI,6.5,30.3,86.0,186.2,224.0,380.4,380.4,380.4,380.4
RHLA,6.3,25.0,68.8,137.9,150.7,225.6,225.6,225.6,225.6
ULPA,10.1,59.8,186.2,407.6,483.0,632.2,632.2,632.2,632.2
WAFI,1.0,108.2,118.8,122.1,92.0,116.5,112.9,110.3,110.3
WARO,0.0,3.8,11.4,19.6,14.6,18.4,18.2,17.4,17.1
BDL OTHER,5.9,27.7,80.6,168.9,193.0,316.4,316.4,316.4,316.4
BDM OTHER,4.6,39.4,113.3,216.1,237.7,391.7,391.7,391.7,391.7
BDS OTHER,9.4,29.6,69.5,119.3,119.3,119.3,119.3,119.3,119.3
CEL OTHER,3.9,15.9,52.0,132.7,181.3,360.3,509.0,681.5,681.5
CEM OTHER,2.6,13.3,40.1,84.8,95.0,121.0,121.0,121.0,121.0
CES OTHER,2.3,12.6,41.7,98.7,77.6,98.7,98.7,98.7,98.7
BEL OTHER,2.5,26.0,85.1,182.4,212.9,372.6,372.6,372.6,372.6
BEM OTHER,2.7,11.6,38.3,105.4,153.0,197.2,197.2,197.2,197.2
BES OTHER,6.3,25.0,68.8,137.9,150.7,225.6,225.6,225.6,225.6
PEL OTHER,7.5,46.3,118.5,214.7,166.2,211.8,206.5,201.1,201.1
PEM OTHER,2.3,17.0,31.7,41.0,36.3,46.6,45.4,44.2,44.2
PES OTHER,0.0,3.8,11.4,19.6,14.6,18.4,18.2,17.4,17.1
