,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACFA,3.6,13.8,37.4,72.0,-9.8,-9.8,-9.8,-9.8,-9.8,,,,
ACSA3,7.5,31.2,70.3,102.5,114.5,-25.2,-25.2,-25.2,-25.2,,,,
BRPO,0.7,8.0,20.4,31.3,-3.8,-16.2,-16.2,-16.2,-16.2,,,,
CEFL,1.1,8.9,30.4,66.4,111.9,-10.8,-10.8,-10.8,-10.8,,,,
CHLI,0.9,5.0,13.1,27.2,43.4,-1.8,-1.8,-1.8,-1.8,,,,
EUMI2,4.9,23.0,75.2,132.6,174.0,133.0,-45.7,-45.7,-45.7,,,,
FRUH,1.4,6.8,24.3,74.2,150.7,256.2,-29.9,-29.9,-29.9,,,,
FRVE,0.8,7.1,28.3,64.9,115.8,176.9,242.5,-32.4,-32.4,,,,
MOAL,1.0,8.5,25.8,41.0,46.2,43.6,32.8,14.7,-58.1,,,,
OLEU,1.0,6.3,13.3,17.2,15.2,9.0,-15.1,-15.3,-15.3,,,,
PAAC,1.5,7.3,19.3,39.3,63.9,91.3,-14.5,-14.5,-14.5,,,,
PHCA,7.5,6.5,5.1,3.6,2.4,0.9,-0.9,-3.2,-3.2,,,,
PHDA4,5.3,6.2,6.2,5.7,4.7,3.2,0.3,-1.2,-3.4,,,,
PIBR2,3.6,15.6,45.6,72.4,57.8,-10.3,-10.3,-10.3,-10.3,,,,
PICH,1.1,6.9,17.9,27.1,-5.6,-5.6,-5.6,-5.6,-5.6,,,,
PICO5,0.9,7.3,17.9,13.8,-4.7,-4.7,-4.7,-4.7,-4.7,,,,
PIEL2,0.8,4.6,13.7,26.2,29.4,-9.8,-9.8,-9.8,-9.8,,,,
PIHA,0.5,5.8,22.9,48.2,70.2,80.7,66.3,-15.2,-48.7,,,,
PRCH,3.0,12.5,28.3,49.5,67.0,77.7,-18.3,-18.3,-18.3,,,,
QUVI,3.3,20.1,61.5,153.6,238.9,352.1,-33.2,-33.2,-33.2,,,,
RHLA,0.7,4.0,10.8,22.2,32.3,37.2,-11.5,-11.5,-11.5,,,,
ULPA,1.6,11.2,33.5,67.3,109.6,-16.9,-16.9,-16.9,-16.9,,,,
WAFI,6.1,5.5,-1.4,-1.9,-2.3,-2.7,-3.0,-3.0,-3.0,,,,
WARO,12.9,11.6,9.8,7.9,6.3,-4.3,-4.5,-4.7,-4.7,,,,
BDL OTHER,1.4,6.8,24.3,74.2,150.7,256.2,-29.9,-29.9,-29.9,,,,
BDM OTHER,3.0,12.5,28.3,49.5,67.0,77.7,-18.3,-18.3,-18.3,,,,
BDS OTHER,3.6,13.8,37.4,72.0,-9.8,-9.8,-9.8,-9.8,-9.8,,,,
CEL OTHER,0.5,5.8,22.9,48.2,70.2,80.7,66.3,-15.2,-48.7,,,,
CEM OTHER,3.6,15.6,45.6,72.4,57.8,-10.3,-10.3,-10.3,-10.3,,,,
CES OTHER,0.9,7.3,17.9,13.8,-4.7,-4.7,-4.7,-4.7,-4.7,,,,
BEL OTHER,4.9,23.0,75.2,132.6,174.0,133.0,-45.7,-45.7,-45.7,,,,
BEM OTHER,0.7,8.0,20.4,31.3,-3.8,-16.2,-16.2,-16.2,-16.2,,,,
BES OTHER,0.7,4.0,10.8,22.2,32.3,37.2,-11.5,-11.5,-11.5,,,,
PEL OTHER,7.5,6.5,5.1,3.6,2.4,0.9,-0.9,-3.2,-3.2,,,,
PEM OTHER,5.3,6.2,6.2,5.7,4.7,3.2,0.3,-1.2,-3.4,,,,
PES OTHER,12.9,11.6,9.8,7.9,6.3,-4.3,-4.5,-4.7,-4.7,,,,
