,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,-0.013,-0.050,-0.128,-0.278,-0.278,-0.278,-0.278,-0.278,-0.278
ACSA3,-0.001,-0.016,-0.067,-0.192,-0.382,-0.381,-0.381,-0.381,-0.381
BRPO,-0.006,-0.031,-0.096,-0.237,-0.440,-0.439,-0.439,-0.439,-0.439
CEFL,-0.011,-0.047,-0.140,-0.333,-0.608,-0.607,-0.607,-0.607,-0.607
CHLI,-0.018,-0.066,-0.180,-0.468,-1.065,-1.064,-1.064,-1.064,-1.064
EUMI2,-0.030,-0.128,-0.375,-0.890,-1.616,-2.553,-2.553,-2.553,-2.553
FRUH,0.000,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002
FRVE,0.000,0.000,0.001,0.001,0.001,0.002,0.003,0.003,0.003
MOAL,-0.018,-0.055,-0.114,-0.199,-0.293,-0.393,-0.504,-0.624,-0.624
OLEU,-0.002,-0.007,-0.015,-0.028,-0.043,-0.062,-0.062,-0.062,-0.062
PAAC,-0.041,-0.160,-0.432,-0.968,-1.705,-2.640,-2.640,-2.640,-2.640
PHCA,-0.094,-0.545,-0.998,-1.406,-1.724,-1.724,-1.724,-1.724,-1.724
PHDA4,-0.048,-0.139,-0.227,-0.313,-0.401,-0.492,-0.590,-0.590,-0.590
PIBR2,-0.003,-0.011,-0.038,-0.102,-0.198,-0.198,-0.198,-0.198,-0.198
PICH,-0.022,-0.129,-0.453,-1.187,-1.187,-1.187,-1.187,-1.187,-1.187
PICO5,-0.010,-0.099,-0.389,-1.005,-1.005,-1.005,-1.005,-1.005,-1.005
PIEL2,-0.004,-0.014,-0.036,-0.087,-0.181,-0.181,-0.181,-0.181,-0.181
PIHA,-0.003,-0.018,-0.059,-0.150,-0.282,-0.453,-0.666,-0.920,-0.920
PRCH,-0.006,-0.027,-0.077,-0.180,-0.327,-0.514,-0.514,-0.514,-0.514
QUVI,-0.077,-0.321,-0.910,-2.111,-3.790,-5.944,-5.944,-5.944,-5.944
RHLA,0.000,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002
ULPA,0.000,0.000,0.001,0.003,0.003,0.004,0.004,0.004,0.004
WAFI,-0.040,-0.141,-0.140,-0.140,-0.141,-0.140,-0.141,-0.141,-0.141
WARO,-0.005,-0.042,-0.098,-0.154,-0.188,-0.188,-0.188,-0.188,-0.188
BDL OTHER,0.000,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002
BDM OTHER,-0.006,-0.027,-0.077,-0.180,-0.327,-0.514,-0.514,-0.514,-0.514
BDS OTHER,-0.013,-0.050,-0.128,-0.278,-0.278,-0.278,-0.278,-0.278,-0.278
CEL OTHER,-0.003,-0.018,-0.059,-0.150,-0.282,-0.453,-0.666,-0.920,-0.920
CEM OTHER,-0.003,-0.011,-0.038,-0.102,-0.198,-0.198,-0.198,-0.198,-0.198
CES OTHER,-0.010,-0.099,-0.389,-1.005,-1.005,-1.005,-1.005,-1.005,-1.005
BEL OTHER,-0.030,-0.128,-0.375,-0.890,-1.616,-2.553,-2.553,-2.553,-2.553
BEM OTHER,-0.006,-0.031,-0.096,-0.237,-0.440,-0.439,-0.439,-0.439,-0.439
BES OTHER,0.000,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002
PEL OTHER,-0.094,-0.545,-0.998,-1.406,-1.724,-1.724,-1.724,-1.724,-1.724
PEM OTHER,-0.048,-0.139,-0.227,-0.313,-0.401,-0.492,-0.590,-0.590,-0.590
PES OTHER,-0.005,-0.042,-0.098,-0.154,-0.188,-0.188,-0.188,-0.188,-0.188
