,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,2.3,3.2,4.6,6.5,0.0,0.0,0.0,0.0,0.0
ACSA3,3.1,8.6,14.5,18.2,19.6,0.0,0.0,0.0,0.0
BRPO,1.9,3.6,5.2,5.9,1.3,0.0,0.0,0.0,0.0
CEFL,2.7,5.9,12.4,22.0,33.4,0.0,0.0,0.0,0.0
CHLI,1.8,2.5,4.2,8.7,18.0,0.0,0.0,0.0,0.0
EUMI2,7.3,11.8,18.5,23.2,24.7,19.0,0.0,0.0,0.0
FRUH,2.4,6.1,13.1,25.5,39.4,54.9,0.0,0.0,0.0
FRVE,3.2,5.2,8.9,14.5,22.7,34.3,49.7,0.0,0.0
MOAL,12.3,12.0,9.9,7.7,6.4,5.3,4.6,4.0,0.0
OLEU,3.8,3.6,3.0,2.3,2.0,1.7,0.0,0.0,0.0
PAAC,2.6,4.7,8.6,14.7,22.0,30.3,0.0,0.0,0.0
PHCA,6.5,6.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0
PHDA4,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.0,0.0
PIBR2,4.0,9.8,17.8,22.6,18.4,0.0,0.0,0.0,0.0
PICH,2.7,6.1,9.1,9.6,0.0,0.0,0.0,0.0,0.0
PICO5,1.8,6.2,9.0,5.3,0.0,0.0,0.0,0.0,0.0
PIEL2,2.6,3.2,4.67,7.6,11.4,0.0,0.0,0.0,0.0
PIHA,3.6,7.7,13.6,19.0,22.4,23.3,20.2,6.3,0.0
PRCH,5.8,9.1,13.5,18.9,23.4,26.5,0.0,0.0,0.0
QUVI,1.9,5.1,11.1,23.1,34.0,48.0,0.0,0.0,0.0
RHLA,4.0,4.6,5.4,6.4,7.3,8.0,0.0,0.0,0.0
ULPA,4.0,10.4,20.1,31.9,44.7,0.0,0.0,0.0,0.0
WAFI,2.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARO,0.7,2.1,2.6,2.1,1.0,0.0,0.0,0.0,0.0
BDL OTHER,2.4,6.1,13.1,25.5,39.4,54.9,0.0,0.0,0.0
BDM OTHER,5.8,9.1,13.5,18.9,23.4,26.5,0.0,0.0,0.0
BDS OTHER,2.3,3.2,4.6,6.5,0.0,0.0,0.0,0.0,0.0
CEL OTHER,3.6,7.7,13.6,19.0,22.4,23.3,20.2,6.3,0.0
CEM OTHER,4.0,9.8,17.8,22.6,18.4,0.0,0.0,0.0,0.0
CES OTHER,1.8,6.2,9.0,5.3,0.0,0.0,0.0,0.0,0.0
BEL OTHER,7.3,11.8,18.5,23.2,24.7,19.0,0.0,0.0,0.0
BEM OTHER,1.9,3.6,5.2,5.9,1.3,0.0,0.0,0.0,0.0
BES OTHER,4.0,4.6,5.4,6.4,7.3,8.0,0.0,0.0,0.0
PEL OTHER,6.5,6.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.0,0.0
PES OTHER,0.7,2.1,2.6,2.1,1.0,0.0,0.0,0.0,0.0
