,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,0.007,0.041,0.094,0.094,0.094,0.094,0.094,0.094,0.094
CEDE,0.011,0.072,0.177,0.314,0.441,0.559,0.669,0.773,0.871
CESI3,0.006,0.045,0.125,0.238,0.349,0.456,0.558,0.558,0.558
CICA,0.004,0.040,0.126,0.258,0.395,0.533,0.668,0.800,0.800
CUAN,0.011,0.065,0.157,0.274,0.274,0.274,0.274,0.274,0.274
EUFI81,0.002,0.024,0.082,0.179,0.283,0.391,0.499,0.606,0.713
FIMI,0.000,0.010,0.057,0.176,0.343,0.547,0.547,0.547,0.547
JAMI,0.010,0.072,0.187,0.187,0.187,0.187,0.187,0.187,0.187
LIST,0.008,0.038,0.085,0.139,0.139,0.139,0.139,0.139,0.139
MAGR,0.007,0.045,0.117,0.211,0.301,0.385,0.385,0.385,0.385
MEEX,0.002,0.030,0.114,0.265,0.437,0.621,0.621,0.621,0.621
MEQU,0.002,0.020,0.066,0.141,0.220,0.301,0.382,0.382,0.382
PHCA,0.020,0.106,0.256,0.467,0.467,0.467,0.467,0.467,0.467
PHDA4,0.007,0.038,0.067,0.085,0.101,0.101,0.101,0.101,0.101
PIBR2,0.006,0.027,0.079,0.163,0.243,0.243,0.243,0.243,0.243
PICA,0.008,0.046,0.104,0.174,0.236,0.293,0.345,0.345,0.345
PICO5,0.006,0.028,0.087,0.203,0.203,0.203,0.203,0.203,0.203
PIUN,0.008,0.053,0.131,0.230,0.321,0.321,0.321,0.321,0.321
PLAC,0.009,0.063,0.200,0.423,0.616,0.616,0.616,0.616,0.616
POMA,0.007,0.040,0.093,0.093,0.093,0.093,0.093,0.093,0.093
SCTE,0.007,0.049,0.126,0.228,0.323,0.323,0.323,0.323,0.323
TRCO,0.005,0.042,0.121,0.121,0.121,0.121,0.121,0.121,0.121
WARO,0.002,0.012,0.027,0.045,0.062,0.077,0.088,0.094,0.093
BDL OTHER,0.009,0.063,0.200,0.423,0.616,0.616,0.616,0.616,0.616
BDM OTHER,0.008,0.038,0.085,0.139,0.139,0.139,0.139,0.139,0.139
BDS OTHER,0.010,0.072,0.187,0.187,0.187,0.187,0.187,0.187,0.187
CEL OTHER,0.011,0.072,0.177,0.314,0.441,0.559,0.669,0.773,0.871
CEM OTHER,0.006,0.027,0.079,0.163,0.243,0.243,0.243,0.243,0.243
CES OTHER,0.006,0.028,0.087,0.203,0.203,0.203,0.203,0.203,0.203
BEL OTHER,0.002,0.024,0.082,0.179,0.283,0.391,0.499,0.606,0.713
BEM OTHER,0.004,0.040,0.126,0.258,0.395,0.533,0.668,0.800,0.800
BES OTHER,0.007,0.040,0.093,0.093,0.093,0.093,0.093,0.093,0.093
PEL OTHER,0.020,0.106,0.256,0.467,0.467,0.467,0.467,0.467,0.467
PEM OTHER,0.007,0.038,0.067,0.085,0.101,0.101,0.101,0.101,0.101
PES OTHER,0.002,0.012,0.027,0.045,0.062,0.077,0.088,0.094,0.093
