,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,0.004,0.024,0.054,0.054,0.054,0.054,0.054,0.054,0.054
CEDE,0.006,0.041,0.103,0.181,0.255,0.323,0.387,0.447,0.503
CESI3,0.003,0.026,0.072,0.138,0.202,0.263,0.323,0.323,0.323
CICA,0.002,0.021,0.067,0.137,0.210,0.283,0.355,0.425,0.425
CUAN,0.006,0.037,0.091,0.158,0.158,0.158,0.158,0.158,0.158
EUFI81,0.001,0.014,0.048,0.103,0.164,0.226,0.288,0.350,0.412
FIMI,0.000,0.006,0.033,0.102,0.198,0.316,0.316,0.316,0.316
JAMI,0.006,0.041,0.108,0.108,0.108,0.108,0.108,0.108,0.108
LIST,0.004,0.019,0.042,0.070,0.070,0.070,0.070,0.070,0.070
MAGR,0.003,0.023,0.058,0.106,0.150,0.193,0.193,0.193,0.193
MEEX,0.001,0.017,0.066,0.153,0.253,0.359,0.359,0.359,0.359
MEQU,0.001,0.012,0.038,0.081,0.127,0.174,0.221,0.221,0.221
PHCA,0.012,0.061,0.148,0.270,0.270,0.270,0.270,0.270,0.270
PHDA4,0.004,0.022,0.039,0.049,0.058,0.058,0.058,0.058,0.058
PIBR2,0.003,0.016,0.045,0.094,0.140,0.140,0.140,0.140,0.140
PICA,0.005,0.026,0.060,0.100,0.136,0.169,0.199,0.199,0.199
PICO5,0.003,0.016,0.050,0.117,0.117,0.117,0.117,0.117,0.117
PIUN,0.005,0.031,0.075,0.133,0.186,0.186,0.186,0.186,0.186
PLAC,0.005,0.036,0.116,0.245,0.356,0.356,0.356,0.356,0.356
POMA,0.004,0.023,0.054,0.054,0.054,0.054,0.054,0.054,0.054
SCTE,0.004,0.029,0.073,0.131,0.187,0.187,0.187,0.187,0.187
TRCO,0.003,0.024,0.070,0.070,0.070,0.070,0.070,0.070,0.070
WARO,0.001,0.007,0.016,0.026,0.036,0.045,0.051,0.054,0.054
BDL OTHER,0.005,0.036,0.116,0.245,0.356,0.356,0.356,0.356,0.356
BDM OTHER,0.004,0.019,0.042,0.070,0.070,0.070,0.070,0.070,0.070
BDS OTHER,0.006,0.041,0.108,0.108,0.108,0.108,0.108,0.108,0.108
CEL OTHER,0.006,0.041,0.103,0.181,0.255,0.323,0.387,0.447,0.503
CEM OTHER,0.003,0.016,0.045,0.094,0.140,0.140,0.140,0.140,0.140
CES OTHER,0.003,0.016,0.050,0.117,0.117,0.117,0.117,0.117,0.117
BEL OTHER,0.001,0.014,0.048,0.103,0.164,0.226,0.288,0.350,0.412
BEM OTHER,0.002,0.021,0.067,0.137,0.210,0.283,0.355,0.425,0.425
BES OTHER,0.004,0.023,0.054,0.054,0.054,0.054,0.054,0.054,0.054
PEL OTHER,0.012,0.061,0.148,0.270,0.270,0.270,0.270,0.270,0.270
PEM OTHER,0.004,0.022,0.039,0.049,0.058,0.058,0.058,0.058,0.058
PES OTHER,0.001,0.007,0.016,0.026,0.036,0.045,0.051,0.054,0.054
