,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,0.0004,0.0023,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
CEDE,0.0005,0.0064,0.0153,0.0263,0.0335,0.0394,0.0450,0.0495,0.0539
CESI3,0.0003,0.0026,0.0082,0.0176,0.0250,0.0317,0.0370,0.0370,0.0370
CICA,0.0003,0.0035,0.0112,0.0233,0.0324,0.0413,0.0494,0.0564,0.0564
CUAN,0.0005,0.0042,0.0102,0.0180,0.0180,0.0180,0.0180,0.0180,0.0180
EUFI81,0.0002,0.0016,0.0058,0.0141,0.0214,0.0285,0.0347,0.0404,0.0463
FIMI,0.0000,0.0005,0.0036,0.0139,0.0250,0.0364,0.0364,0.0364,0.0364
JAMI,0.0005,0.0049,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129
LIST,0.0006,0.0053,0.0108,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
MAGR,0.0005,0.0049,0.0128,0.0235,0.0311,0.0376,0.0376,0.0376,0.0376
MEEX,0.0002,0.0023,0.0085,0.0207,0.0311,0.0412,0.0412,0.0412,0.0412
MEQU,0.0001,0.0015,0.0054,0.0125,0.0182,0.0246,0.0292,0.0292,0.0292
PHCA,0.0008,0.0061,0.0179,0.0327,0.0333,0.0321,0.0294,0.0271,0.0271
PHDA4,0.0003,0.0027,0.0055,0.0072,0.0078,0.0070,0.0065,0.0058,0.0058
PIBR2,0.0004,0.0022,0.0062,0.0136,0.0187,0.0187,0.0187,0.0187,0.0187
PICA,0.0006,0.0057,0.0113,0.0177,0.0217,0.0255,0.0283,0.0283,0.0283
PICO5,0.0003,0.0020,0.0069,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
PIUN,0.0004,0.0037,0.0096,0.0177,0.0240,0.0240,0.0240,0.0240,0.0240
PLAC,0.0007,0.0057,0.0166,0.0327,0.0425,0.0425,0.0425,0.0425,0.0425
POMA,0.0004,0.0028,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
SCTE,0.0004,0.0024,0.0075,0.0158,0.0222,0.0222,0.0222,0.0222,0.0222
TRCO,0.0004,0.0031,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
WARO,0.0001,0.0010,0.0028,0.0043,0.0047,0.0051,0.0053,0.0050,0.0045
BDL OTHER,0.0007,0.0057,0.0166,0.0327,0.0425,0.0425,0.0425,0.0425,0.0425
BDM OTHER,0.0006,0.0053,0.0108,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
BDS OTHER,0.0005,0.0049,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129
CEL OTHER,0.0005,0.0064,0.0153,0.0263,0.0335,0.0394,0.0450,0.0495,0.0539
CEM OTHER,0.0004,0.0022,0.0062,0.0136,0.0187,0.0187,0.0187,0.0187,0.0187
CES OTHER,0.0003,0.0020,0.0069,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
BEL OTHER,0.0002,0.0016,0.0058,0.0141,0.0214,0.0285,0.0347,0.0404,0.0463
BEM OTHER,0.0003,0.0035,0.0112,0.0233,0.0324,0.0413,0.0494,0.0564,0.0564
BES OTHER,0.0004,0.0028,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
PEL OTHER,0.0008,0.0061,0.0179,0.0327,0.0333,0.0321,0.0294,0.0271,0.0271
PEM OTHER,0.0003,0.0027,0.0055,0.0072,0.0078,0.0070,0.0065,0.0058,0.0058
PES OTHER,0.0001,0.0010,0.0028,0.0043,0.0047,0.0051,0.0053,0.0050,0.0045
