,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,0.0001,0.0005,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
CEDE,0.0001,0.0014,0.0035,0.0061,0.0078,0.0092,0.0105,0.0116,0.0127
CESI3,0.0001,0.0006,0.0019,0.0041,0.0058,0.0074,0.0086,0.0086,0.0086
CICA,0.0001,0.0008,0.0026,0.0055,0.0076,0.0097,0.0116,0.0133,0.0133
CUAN,0.0001,0.0010,0.0024,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043
EUFI81,0.0000,0.0004,0.0014,0.0033,0.0050,0.0066,0.0081,0.0094,0.0107
FIMI,0.0000,0.0001,0.0009,0.0032,0.0059,0.0086,0.0086,0.0086,0.0086
JAMI,0.0001,0.0011,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
LIST,0.0001,0.0012,0.0025,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
MAGR,0.0001,0.0011,0.0030,0.0055,0.0072,0.0087,0.0087,0.0087,0.0087
MEEX,0.0000,0.0005,0.0020,0.0048,0.0072,0.0096,0.0096,0.0096,0.0096
MEQU,0.0000,0.0003,0.0013,0.0029,0.0042,0.0056,0.0066,0.0066,0.0066
PHCA,0.0002,0.0014,0.0041,0.0076,0.0079,0.0077,0.0072,0.0067,0.0067
PHDA4,0.0001,0.0006,0.0013,0.0017,0.0019,0.0017,0.0016,0.0015,0.0015
PIBR2,0.0001,0.0005,0.0014,0.0032,0.0044,0.0044,0.0044,0.0044,0.0044
PICA,0.0001,0.0013,0.0026,0.0041,0.0051,0.0060,0.0067,0.0067,0.0067
PICO5,0.0001,0.0004,0.0016,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
PIUN,0.0001,0.0008,0.0022,0.0041,0.0056,0.0056,0.0056,0.0056,0.0056
PLAC,0.0002,0.0013,0.0038,0.0075,0.0098,0.0098,0.0098,0.0098,0.0098
POMA,0.0001,0.0006,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
SCTE,0.0001,0.0006,0.0018,0.0037,0.0052,0.0052,0.0052,0.0052,0.0052
TRCO,0.0001,0.0007,0.0020,0.0020,0.0020,0.0020,0.0020,0.0020,0.0020
WARO,0.0000,0.0002,0.0007,0.0010,0.0011,0.0013,0.0013,0.0013,0.0012
BDL OTHER,0.0002,0.0013,0.0038,0.0075,0.0098,0.0098,0.0098,0.0098,0.0098
BDM OTHER,0.0001,0.0012,0.0025,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
BDS OTHER,0.0001,0.0011,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
CEL OTHER,0.0001,0.0014,0.0035,0.0061,0.0078,0.0092,0.0105,0.0116,0.0127
CEM OTHER,0.0001,0.0005,0.0014,0.0032,0.0044,0.0044,0.0044,0.0044,0.0044
CES OTHER,0.0001,0.0004,0.0016,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
BEL OTHER,0.0000,0.0004,0.0014,0.0033,0.0050,0.0066,0.0081,0.0094,0.0107
BEM OTHER,0.0001,0.0008,0.0026,0.0055,0.0076,0.0097,0.0116,0.0133,0.0133
BES OTHER,0.0001,0.0006,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
PEL OTHER,0.0002,0.0014,0.0041,0.0076,0.0079,0.0077,0.0072,0.0067,0.0067
PEM OTHER,0.0001,0.0006,0.0013,0.0017,0.0019,0.0017,0.0016,0.0015,0.0015
PES OTHER,0.0000,0.0002,0.0007,0.0010,0.0011,0.0013,0.0013,0.0013,0.0012
