,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,-0.010,-0.035,-0.086,-0.086,-0.086,-0.086,-0.086,-0.086,-0.086
CEDE,-0.005,-0.016,-0.037,-0.074,-0.127,-0.200,-0.304,-0.450,-0.656
CESI3,-0.008,-0.027,-0.061,-0.120,-0.199,-0.306,-0.451,-0.451,-0.451
CICA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CUAN,-0.028,-0.103,-0.292,-0.806,-0.806,-0.806,-0.806,-0.806,-0.806
EUFI81,-0.023,-0.076,-0.174,-0.350,-0.599,-0.948,-1.440,-2.132,-3.105
FIMI,-0.007,-0.024,-0.065,-0.168,-0.380,-0.814,-0.814,-0.814,-0.814
JAMI,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,-0.032,-0.114,-0.299,-0.733,-0.733,-0.733,-0.733,-0.733,-0.733
MAGR,-0.009,-0.033,-0.088,-0.223,-0.489,-1.016,-1.016,-1.016,-1.016
MEEX,-0.015,-0.054,-0.154,-0.428,-1.045,-2.435,-2.435,-2.435,-2.435
MEQU,-0.014,-0.050,-0.131,-0.320,-0.676,-1.348,-2.616,-2.616,-2.616
PHCA,-0.022,-0.129,-0.236,-0.333,-0.408,-0.408,-0.408,-0.408,-0.408
PHDA4,-0.011,-0.033,-0.054,-0.074,-0.095,-0.117,-0.140,-0.140,-0.140
PIBR2,-0.001,-0.005,-0.016,-0.042,-0.081,-0.081,-0.081,-0.081,-0.081
PICA,-0.010,-0.036,-0.091,-0.215,-0.440,-0.845,-1.574,-1.574,-1.574
PICO5,-0.004,-0.041,-0.159,-0.410,-0.410,-0.410,-0.410,-0.410,-0.410
PIUN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PLAC,-0.031,-0.106,-0.260,-0.576,-1.091,-1.091,-1.091,-1.091,-1.091
POMA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SCTE,-0.007,-0.023,-0.056,-0.122,-0.228,-0.228,-0.228,-0.228,-0.228
TRCO,-0.005,-0.027,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149
WARO,-0.001,-0.006,-0.015,-0.026,-0.038,-0.050,-0.050,-0.050,-0.050
BDL OTHER,-0.031,-0.106,-0.260,-0.576,-1.091,-1.091,-1.091,-1.091,-1.091
BDM OTHER,-0.032,-0.114,-0.299,-0.733,-0.733,-0.733,-0.733,-0.733,-0.733
BDS OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEL OTHER,-0.005,-0.016,-0.037,-0.074,-0.127,-0.200,-0.304,-0.450,-0.656
CEM OTHER,-0.001,-0.005,-0.016,-0.042,-0.081,-0.081,-0.081,-0.081,-0.081
CES OTHER,-0.004,-0.041,-0.159,-0.410,-0.410,-0.410,-0.410,-0.410,-0.410
BEL OTHER,-0.023,-0.076,-0.174,-0.350,-0.599,-0.948,-1.440,-2.132,-3.105
BEM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PEL OTHER,-0.022,-0.129,-0.236,-0.333,-0.408,-0.408,-0.408,-0.408,-0.408
PEM OTHER,-0.011,-0.033,-0.054,-0.074,-0.095,-0.117,-0.140,-0.140,-0.140
PES OTHER,-0.001,-0.006,-0.015,-0.026,-0.038,-0.050,-0.050,-0.050,-0.050
