,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,0.7,3.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CEDE,0.9,10.7,25.6,44.3,56.5,66.8,76.7,84.5,92.1
CESI3,0.5,4.5,13.9,29.7,42.3,53.7,63.0,63.0,63.0
CICA,0.5,5.8,18.9,39.5,55.0,70.5,84.7,96.4,96.4
CUAN,0.9,7.0,17.3,30.5,30.5,30.5,30.5,30.5,30.5
EUFI81,0.3,2.7,9.9,23.7,36.1,48.2,58.8,68.9,79.0
FIMI,0.0,0.8,6.1,23.3,42.3,61.8,61.8,61.8,61.8
JAMI,0.9,8.3,21.7,21.7,21.7,21.7,21.7,21.7,21.7
LIST,1.0,8.7,18.0,27.8,27.8,27.8,27.8,27.8,27.8
MAGR,0.8,8.2,21.5,39.8,52.6,63.8,63.8,63.8,63.8
MEEX,0.3,3.8,14.3,35.0,52.7,70.1,70.1,70.1,70.1
MEQU,0.2,2.4,9.1,21.0,30.4,41.4,49.4,49.4,49.4
PHCA,1.3,10.4,30.3,55.5,56.4,54.4,50.0,46.4,46.4
PHDA4,0.6,4.5,9.2,12.1,13.1,11.9,11.0,9.9,9.9
PIBR2,0.6,3.6,10.4,22.8,31.5,31.5,31.5,31.5,31.5
PICA,1.0,9.5,18.8,29.5,36.3,42.7,47.6,47.6,47.6
PICO5,0.6,3.3,11.7,28.0,28.0,28.0,28.0,28.0,28.0
PIUN,0.7,6.1,16.2,29.8,40.6,40.6,40.6,40.6,40.6
PLAC,1.2,9.5,27.8,55.2,72.2,72.2,72.2,72.2,72.2
POMA,0.6,4.7,12.1,12.1,12.1,12.1,12.1,12.1,12.1
SCTE,0.6,4.1,12.7,26.7,37.6,37.6,37.6,37.6,37.6
TRCO,0.6,5.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8
WARO,0.2,1.7,4.7,7.2,7.8,8.6,9.1,8.6,7.9
BDL OTHER,1.2,9.5,27.8,55.2,72.2,72.2,72.2,72.2,72.2
BDM OTHER,1.0,8.7,18.0,27.8,27.8,27.8,27.8,27.8,27.8
BDS OTHER,0.9,8.3,21.7,21.7,21.7,21.7,21.7,21.7,21.7
CEL OTHER,0.9,10.7,25.6,44.3,56.5,66.8,76.7,84.5,92.1
CEM OTHER,0.6,3.6,10.4,22.8,31.5,31.5,31.5,31.5,31.5
CES OTHER,0.6,3.3,11.7,28.0,28.0,28.0,28.0,28.0,28.0
BEL OTHER,0.3,2.7,9.9,23.7,36.1,48.2,58.8,68.9,79.0
BEM OTHER,0.5,5.8,18.9,39.5,55.0,70.5,84.7,96.4,96.4
BES OTHER,0.6,4.7,12.1,12.1,12.1,12.1,12.1,12.1,12.1
PEL OTHER,1.3,10.4,30.3,55.5,56.4,54.4,50.0,46.4,46.4
PEM OTHER,0.6,4.5,9.2,12.1,13.1,11.9,11.0,9.9,9.9
PES OTHER,0.2,1.7,4.7,7.2,7.8,8.6,9.1,8.6,7.9
