,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
CACI,1.5,31.7,197.8,197.8,197.8,197.8,197.8,197.8,197.8,,,,
CEDE,1.4,27.1,163.4,597.7,1389.9,2598.6,4272.1,6451.9,9174.7,,,,
CESI3,3.2,50.1,256.4,818.5,1731.2,3007.9,4657.5,4657.5,4657.5,,,,
CICA,3.0,48.9,266.8,910.0,2023.8,3662.3,5867.9,8676.2,8676.2,,,,
CUAN,6.0,70.9,312.5,908.8,908.8,908.8,908.8,908.8,908.8,,,,
EUFI81,1.4,30.9,197.6,745.8,1762.8,3329.7,5512.6,8368.3,11946.8,,,,
FIMI,0.7,19.8,141.3,567.7,1388.8,2683.5,2683.5,2683.5,2683.5,,,,
JAMI,1.7,24.1,125.5,125.5,125.5,125.5,125.5,125.5,125.5,,,,
LIST,1.9,33.3,191.4,684.3,684.3,684.3,684.3,684.3,684.3,,,,
MAGR,2.1,36.1,199.4,682.7,1518.5,2745.1,2745.1,2745.1,2745.1,,,,
MEEX,3.5,57.5,298.3,961.5,2044.8,3566.5,3566.5,3566.5,3566.5,,,,
MEQU,1.8,37.6,233.1,863.0,2016.1,3776.9,6213.9,6213.9,6213.9,,,,
PHCA,43.9,81.8,151.1,211.8,264.1,307.9,343.1,369.8,369.8,,,,
PHDA4,38.1,93.4,148.6,203.9,259.1,314.2,369.4,424.7,424.7,,,,
PIBR2,1.3,21.9,136.1,511.7,1171.3,1171.3,1171.3,1171.3,1171.3,,,,
PICA,1.6,30.7,187.2,689.0,1608.5,3015.6,4967.8,4967.8,4967.8,,,,
PICO5,1.1,19.5,125.7,499.9,499.9,499.9,499.9,499.9,499.9,,,,
PIUN,2.9,47.0,255.6,870.0,1932.4,1932.4,1932.4,1932.4,1932.4,,,,
PLAC,2.0,35.4,223.1,865.9,2084.1,2084.1,2084.1,2084.1,2084.1,,,,
POMA,1.7,31.2,181.2,181.2,181.2,181.2,181.2,181.2,181.2,,,,
SCTE,2.7,46.3,245.4,801.4,1717.8,1717.8,1717.8,1717.8,1717.8,,,,
TRCO,6.3,74.1,326.3,326.3,326.3,326.3,326.3,326.3,326.3,,,,
WARO,78.6,148.4,278.6,388.4,471.7,526.7,555.4,563.5,563.5,,,,
BDL OTHER,2.0,35.4,223.1,865.9,2084.1,2084.1,2084.1,2084.1,2084.1,,,,
BDM OTHER,1.9,33.3,191.4,684.3,684.3,684.3,684.3,684.3,684.3,,,,
BDS OTHER,1.7,24.1,125.5,125.5,125.5,125.5,125.5,125.5,125.5,,,,
CEL OTHER,1.4,27.1,163.4,597.7,1389.9,2598.6,4272.1,6451.9,9174.7,,,,
CEM OTHER,1.3,21.9,136.1,511.7,1171.3,1171.3,1171.3,1171.3,1171.3,,,,
CES OTHER,1.1,19.5,125.7,499.9,499.9,499.9,499.9,499.9,499.9,,,,
BEL OTHER,1.4,30.9,197.6,745.8,1762.8,3329.7,5512.6,8368.3,11946.8,,,,
BEM OTHER,3.0,48.9,266.8,910.0,2023.8,3662.3,5867.9,8676.2,8676.2,,,,
BES OTHER,1.7,31.2,181.2,181.2,181.2,181.2,181.2,181.2,181.2,,,,
PEL OTHER,43.9,81.8,151.1,211.8,264.1,307.9,343.1,369.8,369.8,,,,
PEM OTHER,38.1,93.4,148.6,203.9,259.1,314.2,369.4,424.7,424.7,,,,
PES OTHER,78.6,148.4,278.6,388.4,471.7,526.7,555.4,563.5,563.5,,,,
