,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,0.11,0.46,1.10,1.10,1.10,1.10,1.10,1.10,1.10
CEDE,0.21,0.92,2.20,4.14,6.44,9.20,12.68,17.07,21.99
CESI3,0.11,0.57,1.42,2.74,4.28,6.05,8.13,8.13,8.13
CICA,0.13,0.70,1.83,3.63,5.77,8.26,11.16,14.56,14.56
CUAN,0.12,0.60,1.55,3.35,3.35,3.35,3.35,3.35,3.35
EUFI81,0.07,0.39,1.08,2.27,3.74,5.54,7.72,10.42,13.83
FIMI,0.02,0.18,0.70,1.97,4.16,7.74,7.74,7.74,7.74
JAMI,0.08,0.49,1.42,1.42,1.42,1.42,1.42,1.42,1.42
LIST,0.09,0.41,0.98,1.92,1.92,1.92,1.92,1.92,1.92
MAGR,0.13,0.65,1.71,3.63,6.39,10.75,10.75,10.75,10.75
MEEX,0.05,0.38,1.23,3.15,6.37,11.82,11.82,11.82,11.82
MEQU,0.05,0.31,0.90,2.06,3.78,6.42,10.59,16.26,24.29
PHCA,0.24,1.33,3.65,3.66,3.66,3.66,3.66,3.66,3.66
PHDA4,0.09,0.35,0.69,1.07,1.82,2.12,2.12,2.12,2.12
PIBR2,0.11,0.43,1.35,3.22,5.67,5.67,5.67,5.67,5.67
PICA,0.15,0.63,1.52,3.07,5.33,8.53,12.65,12.65,12.65
PICO5,0.06,0.41,1.45,3.60,3.60,3.60,3.60,3.60,3.60
PIUN,0.19,0.79,1.80,3.19,4.62,4.62,4.62,4.62,4.62
PLAC,0.17,0.78,2.21,4.77,7.82,7.82,7.82,7.82,7.82
POMA,0.10,0.47,1.23,1.23,1.23,1.23,1.23,1.23,1.23
SCTE,0.12,0.56,1.38,2.74,4.48,4.48,4.48,4.48,4.48
TRCO,0.05,0.34,1.35,1.35,1.35,1.35,1.35,1.35,1.35
WARO,0.04,0.20,0.59,1.01,1.16,1.18,1.18,1.18,1.18
BDL OTHER,0.17,0.78,2.21,4.77,7.82,7.82,7.82,7.82,7.82
BDM OTHER,0.09,0.41,0.98,1.92,1.92,1.92,1.92,1.92,1.92
BDS OTHER,0.08,0.49,1.42,1.42,1.42,1.42,1.42,1.42,1.42
CEL OTHER,0.21,0.92,2.20,4.14,6.44,9.20,12.68,17.07,21.99
CEM OTHER,0.11,0.43,1.35,3.22,5.67,5.67,5.67,5.67,5.67
CES OTHER,0.06,0.41,1.45,3.60,3.60,3.60,3.60,3.60,3.60
BEL OTHER,0.07,0.39,1.08,2.27,3.74,5.54,7.72,10.42,13.83
BEM OTHER,0.13,0.70,1.83,3.63,5.77,8.26,11.16,14.56,14.56
BES OTHER,0.10,0.47,1.23,1.23,1.23,1.23,1.23,1.23,1.23
PEL OTHER,0.24,1.33,3.65,3.66,3.66,3.66,3.66,3.66,3.66
PEM OTHER,0.09,0.35,0.69,1.07,1.82,2.12,2.12,2.12,2.12
PES OTHER,0.04,0.20,0.59,1.01,1.16,1.18,1.18,1.18,1.18
