,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
CACI,4.9,16.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,,,
CEDE,12.8,41.9,96.1,193.6,330.8,523.7,795.1,1176.7,1713.4,,,
CESI3,7.2,23.3,52.4,103.1,171.5,263.8,388.6,388.6,388.6,,,
CICA,9.4,30.1,67.1,129.6,211.8,319.6,461.1,646.9,646.9,,,
CUAN,4.9,18.1,51.3,141.7,141.7,141.7,141.7,141.7,141.7,,,
EUFI81,5.9,19.3,44.3,89.2,152.5,241.5,366.6,542.8,790.6,,,
FIMI,2.7,9.8,26.7,69.1,155.9,333.7,333.7,333.7,333.7,,,
JAMI,5.1,21.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,,,
LIST,8.9,31.7,82.9,203.0,203.0,203.0,203.0,203.0,203.0,,,
MAGR,6.1,21.7,58.0,146.6,321.9,668.6,668.6,668.6,668.6,,,
MEEX,4.0,14.8,42.1,116.9,285.6,665.7,665.7,665.7,665.7,,,
MEQU,4.2,14.9,38.8,94.8,200.5,399.7,775.6,775.6,775.6,,,
PHCA,9.9,57.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,,,
PHDA4,3.7,10.8,17.5,24.2,31.0,38.1,45.6,45.6,45.6,,,
PIBR2,6.1,21.6,73.5,196.1,379.7,379.7,379.7,379.7,379.7,,,
PICA,8.0,28.0,71.5,169.3,345.6,663.6,1237.2,1237.2,1237.2,,,
PICO5,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
PIUN,11.9,37.1,78.0,139.3,209.3,209.3,209.3,209.3,209.3,,,
PLAC,21.2,72.4,177.0,392.1,743.4,743.4,743.4,743.4,743.4,,,
POMA,4.6,17.8,53.3,53.3,53.3,53.3,53.3,53.3,53.3,,,
SCTE,5.9,19.8,47.9,104.3,193.7,193.7,193.7,193.7,193.7,,,
TRCO,1.7,9.1,51.2,51.2,51.2,51.2,51.2,51.2,51.2,,,
WARO,0.7,4.6,11.2,19.5,28.6,37.7,37.7,37.7,37.7,,,
BDL OTHER,21.2,72.4,177.0,392.1,743.4,743.4,743.4,743.4,743.4,,,
BDM OTHER,8.9,31.7,82.9,203.0,203.0,203.0,203.0,203.0,203.0,,,
BDS OTHER,5.1,21.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,,,
CEL OTHER,12.8,41.9,96.1,193.6,330.8,523.7,795.1,1176.7,1713.4,,,
CEM OTHER,6.1,21.6,73.5,196.1,379.7,379.7,379.7,379.7,379.7,,,
CES OTHER,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
BEL OTHER,5.9,19.3,44.3,89.2,152.5,241.5,366.6,542.8,790.6,,,
BEM OTHER,9.4,30.1,67.1,129.6,211.8,319.6,461.1,646.9,646.9,,,
BES OTHER,4.6,17.8,53.3,53.3,53.3,53.3,53.3,53.3,53.3,,,
PEL OTHER,9.9,57.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,,,
PEM OTHER,3.7,10.8,17.5,24.2,31.0,38.1,45.6,45.6,45.6,,,
PES OTHER,0.7,4.6,11.2,19.5,28.6,37.7,37.7,37.7,37.7,,,
