,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CACI,5.2,14.7,31.8,31.8,31.8,31.8,31.8,31.8,31.8
CEDE,3.6,-8.6,4.9,35.1,72.0,108.8,141.5,172.0,194.7
CESI3,3.6,12.7,31.8,48.7,66.8,85.4,103.5,103.5,103.5
CICA,2.0,4.7,32.9,72.7,110.9,147.5,174.5,198.7,198.7
CUAN,5.0,22.9,59.4,96.0,96.0,96.0,96.0,96.0,96.0
EUFI81,1.4,6.9,23.7,42.9,60.7,74.6,85.9,94.7,97.9
FIMI,0.2,3.7,14.6,44.7,93.2,151.9,151.9,151.9,151.9
JAMI,4.3,15.3,43.4,43.4,43.4,43.4,43.4,43.4,43.4
LIST,2.9,-0.3,27.7,69.8,69.8,69.8,69.8,69.8,69.8
MAGR,4.3,8.3,30.9,53.1,72.5,90.9,90.9,90.9,90.9
MEEX,1.2,5.4,27.6,53.9,73.4,88.0,88.0,88.0,88.0
MEQU,1.1,7.4,21.9,34.0,27.2,8.2,-7.6,-7.6,-7.6
PHCA,14.2,26.1,37.2,69.3,132.8,191.3,223.2,237.0,237.0
PHDA4,4.9,10.3,23.4,40.3,58.7,64.6,67.2,68.8,68.8
PIBR2,2.4,0.9,10.7,33.6,56.3,56.3,56.3,56.3,56.3
PICA,0.4,-15.0,-3.8,26.6,58.7,87.7,114.7,114.7,114.7
PICO5,2.7,1.4,4.6,9.0,9.0,9.0,9.0,9.0,9.0
PIUN,4.5,8.2,27.4,46.8,65.1,65.1,65.1,65.1,65.1
PLAC,-0.8,-3.1,15.7,48.3,77.7,77.7,77.7,77.7,77.7
POMA,4.2,4.0,10.7,10.7,10.7,10.7,10.7,10.7,10.7
SCTE,5.0,19.8,41.5,64.6,91.3,91.3,91.3,91.3,91.3
TRCO,1.8,14.8,45.5,45.5,45.5,45.5,45.5,45.5,45.5
WARO,1.1,-0.5,6.6,20.9,38.1,51.0,60.3,65.1,65.4
BDL OTHER,-0.8,-3.1,15.7,48.3,77.7,77.7,77.7,77.7,77.7
BDM OTHER,2.9,-0.3,27.7,69.8,69.8,69.8,69.8,69.8,69.8
BDS OTHER,4.3,15.3,43.4,43.4,43.4,43.4,43.4,43.4,43.4
CEL OTHER,3.6,-8.6,4.9,35.1,72.0,108.8,141.5,172.0,194.7
CEM OTHER,2.4,0.9,10.7,33.6,56.3,56.3,56.3,56.3,56.3
CES OTHER,2.7,1.4,4.6,9.0,9.0,9.0,9.0,9.0,9.0
BEL OTHER,1.4,6.9,23.7,42.9,60.7,74.6,85.9,94.7,97.9
BEM OTHER,2.0,4.7,32.9,72.7,110.9,147.5,174.5,198.7,198.7
BES OTHER,4.2,4.0,10.7,10.7,10.7,10.7,10.7,10.7,10.7
PEL OTHER,14.2,26.1,37.2,69.3,132.8,191.3,223.2,237.0,237.0
PEM OTHER,4.9,10.3,23.4,40.3,58.7,64.6,67.2,68.8,68.8
PES OTHER,1.1,-0.5,6.6,20.9,38.1,51.0,60.3,65.1,65.4
