,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
CACI,1.2,4.6,5.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,,,
CEDE,1.7,11.8,34.9,73.8,110.9,157.1,204.5,242.8,288.7,,,,
CESI3,3.0,14.9,34.2,57.6,73.9,84.8,89.9,-51.1,-51.1,,,,
CICA,4.1,18.3,42.4,63.6,75.9,76.6,67.2,47.6,-94.3,,,,
CUAN,8.6,21.2,19.5,7.5,-10.5,-10.5,-10.5,-10.5,-10.5,,,,
EUFI81,0.9,11.4,40.8,103.0,194.9,292.4,381.1,503.6,607.3,,,,
FIMI,3.6,14.2,29.0,34.3,26.4,9.0,-29.9,-29.9,-29.9,,,,
JAMI,3.3,5.9,3.4,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,,,,
LIST,3.4,8.4,9.4,2.8,-8.1,-8.1,-8.1,-8.1,-8.1,,,,
MAGR,1.9,9.3,21.0,35.0,41.5,42.1,-30.6,-30.6,-30.6,,,,
MEEX,4.4,17.7,31.0,32.0,22.0,4.1,-39.6,-40.0,-40.0,,,,
MEQU,1.4,13.1,46.8,96.8,149.0,206.2,247.9,-67.9,-68.3,,,,
PHCA,7.4,6.2,4.5,2.7,1.3,-0.2,-2.1,-4.7,-4.7,,,,
PHDA4,5.2,5.7,5.5,5.0,4.1,2.5,-0.7,-2.8,-5.0,,,,
PIBR2,3.5,15.6,45.0,70.7,54.3,-14.0,-14.0,-14.0,-14.0,,,,
PICA,7.1,24.2,43.5,54.1,48.0,30.4,4.1,-54.8,-55.1,,,,
PICO5,0.9,7.1,17.4,12.2,-6.5,-6.5,-6.5,-6.5,-6.5,,,,
PIUN,1.6,15.2,70.9,187.8,359.3,-22.0,-22.4,-22.7,-23.1,,,,
PLAC,2.6,14.2,37.9,57.6,16.9,-23.6,-23.6,-23.6,-23.6,,,,
POMA,1.7,5.0,2.3,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,,,,
SCTE,5.8,20.1,26.7,20.2,5.2,-19.4,-19.4,-19.4,-19.4,,,,
TRCO,11.3,15.9,6.8,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,,,,
WARO,14.0,12.3,10.3,8.3,6.8,5.1,3.6,1.9,-0.1,,,,
BDL OTHER,2.6,14.2,37.9,57.6,16.9,-23.6,-23.6,-23.6,-23.6,,,,
BDM OTHER,3.4,8.4,9.4,2.8,-8.1,-8.1,-8.1,-8.1,-8.1,,,,
BDS OTHER,3.3,5.9,3.4,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,,,,
CEL OTHER,1.7,11.8,34.9,73.8,110.9,157.1,204.5,242.8,288.7,,,,
CEM OTHER,3.5,15.6,45.0,70.7,54.3,-14.0,-14.0,-14.0,-14.0,,,,
CES OTHER,0.9,7.1,17.4,12.2,-6.5,-6.5,-6.5,-6.5,-6.5,,,,
BEL OTHER,0.9,11.4,40.8,103.0,194.9,292.4,381.1,503.6,607.3,,,,
BEM OTHER,4.1,18.3,42.4,63.6,75.9,76.6,67.2,47.6,-94.3,,,,
BES OTHER,1.7,5.0,2.3,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,,,,
PEL OTHER,7.4,6.2,4.5,2.7,1.3,-0.2,-2.1,-4.7,-4.7,,,,
PEM OTHER,5.2,5.7,5.5,5.0,4.1,2.5,-0.7,-2.8,-5.0,,,,
PES OTHER,14.0,12.3,10.3,8.3,6.8,5.1,3.6,1.9,-0.1,,,,
