,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0007,0.0094,0.0267,0.0470,0.0607,0.0686,0.0686,0.0686,0.0686
ACSA1,0.0090,0.0163,0.0288,0.0468,0.0618,0.0717,0.0764,0.0761,0.0718
ACSA2,0.0012,0.0120,0.0314,0.0528,0.0663,0.0734,0.0734,0.0734,0.0734
CASP,0.0049,0.0079,0.0156,0.0283,0.0407,0.0517,0.0603,0.0665,0.0665
CR,0.0022,0.0121,0.0256,0.0381,0.0381,0.0381,0.0381,0.0381,0.0381
FRAM,0.0015,0.0136,0.0350,0.0564,0.0687,0.0747,0.0762,0.0745,0.0745
FRPE,0.0010,0.0105,0.0303,0.0527,0.0669,0.0742,0.0760,0.0760,0.0760
GLTR,0.0008,0.0112,0.0267,0.0416,0.0478,0.0456,0.0358,0.0358,0.0358
ILOP,0.0025,0.0061,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108
JUNI,0.0022,0.0143,0.0337,0.0529,0.0639,0.0693,0.0705,0.0687,0.0687
LIST,0.0010,0.0049,0.0206,0.0435,0.0605,0.0693,0.0693,0.0693,0.0693
MA2,0.0019,0.0116,0.0270,0.0426,0.0538,0.0538,0.0538,0.0538,0.0538
PIED,0.0008,0.0045,0.0104,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168
PIPU,0.0012,0.0062,0.0117,0.0181,0.0249,0.0319,0.0319,0.0319,0.0319
PISY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PLAC,0.0016,0.0153,0.0363,0.0557,0.0655,0.0685,0.0666,0.0666,0.0666
PLOC,0.0007,0.0072,0.0263,0.0503,0.0651,0.0715,0.0708,0.0645,0.0645
PYCA,0.0006,0.0069,0.0239,0.0451,0.0587,0.0587,0.0587,0.0587,0.0587
QURU,0.0018,0.0142,0.0378,0.0605,0.0713,0.0736,0.0695,0.0695,0.0695
ROPS,0.0040,0.0138,0.0261,0.0375,0.0459,0.0523,0.0574,0.0615,0.0649
TIAM,0.0014,0.0063,0.0192,0.0394,0.0556,0.0644,0.0644,0.0644,0.0644
ULPU,0.0039,0.0086,0.0182,0.0334,0.0469,0.0564,0.0625,0.0659,0.0677
BDL OTHER,0.0010,0.0105,0.0303,0.0527,0.0669,0.0742,0.0760,0.0760,0.0760
BDM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BDS OTHER,0.0019,0.0116,0.0270,0.0426,0.0538,0.0538,0.0538,0.0538,0.0538
CEL OTHER,0.0012,0.0062,0.0117,0.0181,0.0249,0.0319,0.0319,0.0319,0.0319
CEM OTHER,0.0011,0.0041,0.0112,0.0259,0.0412,0.0522,0.0522,0.0522,0.0522
CES OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
