,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.000,0.002,0.007,0.015,0.024,0.032,0.032,0.032,0.032
ACSA1,0.002,0.004,0.008,0.016,0.024,0.034,0.045,0.056,0.067
ACSA2,0.000,0.003,0.008,0.017,0.026,0.035,0.035,0.035,0.035
CASP,0.001,0.002,0.004,0.008,0.012,0.017,0.021,0.026,0.026
CR,0.000,0.003,0.006,0.011,0.011,0.011,0.011,0.011,0.011
FRAM,0.001,0.007,0.020,0.040,0.060,0.080,0.100,0.119,0.119
FRPE,0.000,0.005,0.017,0.035,0.054,0.073,0.093,0.093,0.093
GLTR,0.000,0.004,0.013,0.026,0.039,0.052,0.065,0.065,0.065
ILOP,0.001,0.003,0.008,0.008,0.008,0.008,0.008,0.008,0.008
JUNI,0.000,0.004,0.011,0.020,0.029,0.038,0.047,0.055,0.055
LIST,0.000,0.002,0.006,0.015,0.025,0.035,0.035,0.035,0.035
MA2,0.000,0.003,0.007,0.013,0.018,0.018,0.018,0.018,0.018
PIED,0.000,0.002,0.006,0.011,0.011,0.011,0.011,0.011,0.011
PIPU,0.001,0.003,0.008,0.014,0.020,0.026,0.026,0.026,0.026
PISY,0.000,0.002,0.008,0.019,0.035,0.055,0.055,0.055,0.055
PLAC,0.001,0.004,0.011,0.022,0.032,0.041,0.051,0.051,0.051
PLOC,0.000,0.002,0.008,0.018,0.030,0.041,0.053,0.065,0.065
PYCA,0.000,0.002,0.007,0.017,0.027,0.027,0.027,0.027,0.027
QURU,0.000,0.003,0.011,0.022,0.033,0.044,0.055,0.055,0.055
ROPS,0.002,0.007,0.013,0.020,0.026,0.031,0.035,0.039,0.043
TIAM,0.001,0.003,0.011,0.026,0.043,0.062,0.062,0.062,0.062
ULPU,0.001,0.003,0.006,0.013,0.020,0.027,0.033,0.037,0.040
BDL OTHER,0.000,0.005,0.017,0.035,0.054,0.073,0.093,0.093,0.093
BDM OTHER,0.000,0.002,0.007,0.015,0.024,0.032,0.032,0.032,0.032
BDS OTHER,0.000,0.003,0.007,0.013,0.018,0.018,0.018,0.018,0.018
CEL OTHER,0.001,0.003,0.008,0.014,0.020,0.026,0.026,0.026,0.026
CEM OTHER,0.000,0.002,0.008,0.019,0.035,0.055,0.055,0.055,0.055
CES OTHER,0.000,0.002,0.006,0.011,0.011,0.011,0.011,0.011,0.011
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Deposition (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
