,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.002,0.026,0.083,0.173,0.269,0.365,0.365,0.365,0.365
ACSA1,0.023,0.045,0.089,0.165,0.257,0.361,0.472,0.586,0.701
ACSA2,0.003,0.031,0.096,0.194,0.296,0.397,0.397,0.397,0.397
CASP,0.010,0.021,0.043,0.081,0.127,0.178,0.230,0.283,0.283
CR,0.005,0.029,0.068,0.117,0.117,0.117,0.117,0.117,0.117
FRAM,0.007,0.062,0.184,0.367,0.553,0.735,0.914,1.087,1.087
FRPE,0.004,0.048,0.153,0.320,0.495,0.671,0.847,0.847,0.847
GLTR,0.004,0.044,0.134,0.270,0.411,0.550,0.687,0.687,0.687
ILOP,0.009,0.027,0.073,0.073,0.073,0.073,0.073,0.073,0.073
JUNI,0.005,0.041,0.112,0.211,0.309,0.402,0.491,0.577,0.577
LIST,0.002,0.018,0.063,0.153,0.261,0.373,0.373,0.373,0.373
MA2,0.004,0.029,0.074,0.135,0.193,0.193,0.193,0.193,0.193
PIED,0.003,0.021,0.056,0.103,0.103,0.103,0.103,0.103,0.103
PIPU,0.005,0.030,0.075,0.132,0.185,0.235,0.235,0.235,0.235
PISY,0.004,0.021,0.070,0.176,0.322,0.502,0.502,0.502,0.502
PLAC,0.005,0.044,0.122,0.232,0.340,0.444,0.544,0.544,0.544
PLOC,0.002,0.022,0.078,0.175,0.281,0.392,0.505,0.618,0.618
PYCA,0.002,0.022,0.078,0.175,0.283,0.283,0.283,0.283,0.283
QURU,0.004,0.037,0.115,0.232,0.352,0.472,0.590,0.590,0.590
ROPS,0.015,0.060,0.119,0.182,0.235,0.281,0.322,0.359,0.393
TIAM,0.006,0.031,0.100,0.234,0.397,0.570,0.570,0.570,0.570
ULPU,0.011,0.029,0.068,0.134,0.208,0.280,0.343,0.392,0.422
BDL OTHER,0.004,0.048,0.153,0.320,0.495,0.671,0.847,0.847,0.847
BDM OTHER,0.002,0.026,0.083,0.173,0.269,0.365,0.365,0.365,0.365
BDS OTHER,0.004,0.029,0.074,0.135,0.193,0.193,0.193,0.193,0.193
CEL OTHER,0.005,0.030,0.075,0.132,0.185,0.235,0.235,0.235,0.235
CEM OTHER,0.004,0.021,0.070,0.176,0.322,0.502,0.502,0.502,0.502
CES OTHER,0.003,0.021,0.056,0.103,0.103,0.103,0.103,0.103,0.103
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Ozone Deposition (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
