,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ACSA1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ACSA2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CASP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRPE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GLTR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
JUNI,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MA2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PIED,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PIPU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PISY,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PLAC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PLOC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PYCA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QURU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ROPS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TIAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ULPU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDS OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Deposition (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
