,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,-0.001,-0.012,-0.034,-0.064,-0.097,-0.130,-0.130,-0.130,-0.130
ACSA1,-0.002,-0.019,-0.048,-0.092,-0.144,-0.203,-0.268,-0.341,-0.421
ACSA2,-0.002,-0.021,-0.065,-0.148,-0.258,-0.395,-0.395,-0.395,-0.395
CASP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CR,0.000,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
FRAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRPE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GLTR,-0.003,-0.031,-0.097,-0.218,-0.379,-0.578,-0.817,-0.817,-0.817
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
JUNI,-0.003,-0.014,-0.033,-0.068,-0.112,-0.165,-0.227,-0.299,-0.299
LIST,-0.019,-0.131,-0.478,-1.279,-2.465,-4.037,-4.037,-4.037,-4.037
MA2,0.000,0.000,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
PIED,-0.013,-0.076,-0.021,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075
PIPU,-0.026,-0.101,-0.272,-0.610,-1.072,-1.658,-1.658,-1.658,-1.658
PISY,-0.009,-0.112,-0.441,-1.104,-1.881,-2.616,-2.616,-2.616,-2.616
PLAC,-0.010,-0.136,-0.384,-0.710,-1.031,-1.347,-1.658,-1.658,-1.658
PLOC,-0.011,-0.109,-0.348,-0.731,-1.186,-1.714,-2.315,-2.989,-2.989
PYCA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QURU,-0.016,-0.075,-0.222,-0.510,-0.877,-1.297,-1.740,-1.740,-1.740
ROPS,-0.010,-0.046,-0.094,-0.163,-0.237,-0.316,-0.401,-0.493,-0.591
TIAM,-0.002,-0.014,-0.038,-0.086,-0.156,-0.252,-0.252,-0.252,-0.252
ULPU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDM OTHER,-0.001,-0.012,-0.034,-0.064,-0.097,-0.130,-0.130,-0.130,-0.130
BDS OTHER,0.000,0.000,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
CEL OTHER,-0.026,-0.101,-0.272,-0.610,-1.072,-1.658,-1.658,-1.658,-1.658
CEM OTHER,-0.009,-0.112,-0.441,-1.104,-1.881,-2.616,-2.616,-2.616,-2.616
CES OTHER,-0.013,-0.076,-0.021,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,BVOCs (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
