,5,10,20,30,40,50,60,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPL,8.3,16.1,30.2,42.4,52.7,61.1,67.6,72.1,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA1,7.9,15.6,30.6,45.1,58.9,72.2,84.8,96.9,108.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA2,6.9,13.5,25.6,36.5,46.1,54.4,61.4,67.2,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASP,9.3,18.9,34.0,45.7,55.4,63.8,71.2,77.8,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,6.0,12.2,21.8,29.2,35.3,40.5,45.2,49.3,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAM,6.1,14.9,31.0,44.9,57.1,68.0,78.0,87.2,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRPE,5.7,13.1,25.7,36.3,45.3,53.3,60.5,67.1,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLTR,9.4,18.5,32.2,42.7,51.2,58.5,64.9,70.6,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILOP,5.5,9.5,17.9,27.1,27.1,27.1,27.2,27.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNI,6.4,14.4,28.0,39.2,48.8,57.2,64.8,71.7,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIST,7.5,15.3,27.4,36.7,44.5,51.1,57.0,62.2,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA2,3.9,10.7,24.4,37.0,48.5,59.1,59.2,59.2,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIED,4.5,8.8,16.5,23.1,28.6,32.9,36.2,38.3,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIPU,8.1,16.2,28.6,38.2,46.0,52.7,58.6,63.9,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PISY,4.9,12.3,26.2,38.4,49.3,59.1,68.2,68.2,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAC,14.4,24.7,38.3,47.9,55.4,61.6,66.9,71.6,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLOC,8.5,18.0,33.4,45.6,55.9,64.9,72.8,80.0,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYCA,5.3,11.5,26.6,45.2,45.2,45.2,45.2,45.2,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QURU,8.6,17.3,30.6,40.9,49.3,56.6,63.0,68.8,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPS,6.2,14.9,30.9,44.5,56.5,67.3,77.0,86.0,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIAM,11.1,19.3,30.6,38.5,44.7,49.9,54.4,58.3,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULPU,8.0,18.3,36.3,51.2,64.2,75.6,85.9,95.3,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL OTHER,5.7,13.1,25.7,36.3,45.3,53.3,60.5,67.1,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDM OTHER,8.3,16.1,30.2,42.4,52.7,61.1,67.6,72.1,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDS OTHER,3.9,10.7,24.4,37.0,48.5,59.1,59.2,59.2,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEL OTHER,8.1,16.2,28.6,38.2,46.0,52.7,58.6,63.9,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEM OTHER,4.9,12.3,26.2,38.4,49.3,59.1,68.2,68.2,68.2,,,,,,,,,,,,,,,,,,,,df,SS,MS,F,Significance F,,,
CES OTHER,4.5,8.8,16.5,23.1,28.6,32.9,36.2,38.3,39.4,,,,,,,,,,,,,,,,,,,Regression,1,36007.694675803,36007.694675803,119.2886777493,0.0003990829,,
,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,2,114.5535391028,-2.8535391028,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,165.6111458082,20.8888541918,,,,,,
,dbh @ specified year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,256.0993794742,-21.2993794742,,,,,,
