,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.5,19.3,61.7,127.5,178.8,228.4,228.4,228.4,228.4
ACSA1,16.9,33.3,65.9,121.3,169.2,221.9,272.3,322.2,368.2
ACSA2,2.3,22.4,70.0,139.8,194.7,245.0,245.0,245.0,245.0
CASP,6.6,16.6,35.6,69.3,96.6,128.3,158.7,186.9,186.9
CR,3.8,21.7,50.9,87.4,87.4,87.4,87.4,87.4,87.4
FRAM,2.8,26.6,78.6,152.0,208.9,260.7,309.0,352.4,352.4
FRPE,1.9,21.0,66.8,136.1,190.9,242.9,292.6,292.6,292.6
GLTR,3.0,29.7,90.1,174.3,240.3,302.3,356.9,356.9,356.9
ILOP,3.2,10.3,29.9,29.9,29.9,29.9,29.9,29.9,29.9
JUNI,3.3,29.7,81.9,149.1,200.3,246.1,286.9,324.3,324.3
LIST,1.4,14.0,49.9,116.6,173.2,229.5,229.5,229.5,229.5
MA2,2.5,19.1,50.8,96.8,128.9,128.9,128.9,128.9,128.9
PIED,1.2,8.3,21.9,41.6,41.6,41.6,41.6,41.6,41.6
PIPU,1.7,11.9,30.5,59.3,78.1,98.6,98.6,98.6,98.6
PISY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAC,4.4,34.6,93.7,169.3,227.0,279.7,327.4,327.4,327.4
PLOC,1.3,19.3,66.6,140.8,202.6,262.2,319.1,371.5,371.5
PYCA,1.0,16.1,56.8,124.6,179.8,179.8,179.8,179.8,179.8
QURU,2.5,29.5,89.4,170.6,234.3,295.5,348.7,348.7,348.7
ROPS,5.7,26.3,53.2,81.7,100.0,116.4,130.2,142.5,153.9
TIAM,2.5,14.1,45.4,106.8,158.6,213.5,213.5,213.5,213.5
ULPU,7.1,20.9,49.7,100.0,138.4,178.3,209.7,231.2,244.3
BDL OTHER,1.9,21.0,66.8,136.1,190.9,242.9,292.6,292.6,292.6
BDM OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDS OTHER,2.5,19.1,50.8,96.8,128.9,128.9,128.9,128.9,128.9
CEL OTHER,1.7,11.9,30.5,59.3,78.1,98.6,98.6,98.6,98.6
CEM OTHER,1.5,8.1,28.9,78.0,123.7,182.3,182.3,182.3,182.3
CES OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
