,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACPL,4.2,42.0,130.5,267.1,409.3,551.7,551.7,551.7,551.7,,,
ACSA1,5.4,60.2,153.1,296.7,463.0,652.0,863.7,1098.0,1355.0,,,
ACSA2,6.5,55.6,175.4,399.2,696.2,1066.4,1066.4,1066.4,1066.4,,,
CASP,8.1,34.2,81.8,160.7,257.5,372.1,504.5,654.6,654.6,,,
CR,5.2,37.8,80.1,144.4,144.4,144.4,144.4,144.4,144.4,,,
FRAM,4.4,53.3,183.9,411.1,558.4,668.9,742.8,780.0,780.0,,,
FRPE,4.2,48.0,140.1,293.6,482.0,705.3,963.7,963.7,963.7,,,
GLTR,4.2,52.0,160.0,360.5,625.5,955.1,1349.1,1349.1,1349.1,,,
ILOP,0.4,1.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,,,
JUNI,13.7,58.1,143.1,291.2,478.9,706.1,973.0,1279.4,1279.4,,,
LIST,4.6,30.9,113.2,302.6,583.2,955.1,955.1,955.1,955.1,,,
MA2,4.5,28.0,87.3,176.5,229.5,229.5,229.5,229.5,229.5,,,
PIED,0.3,1.0,8.2,28.5,28.5,28.5,28.5,28.5,28.5,,,
PIPU,8.0,31.3,84.2,188.5,331.2,512.4,512.4,512.4,512.4,,,
PISY,1.8,22.1,87.0,217.8,371.0,516.1,516.1,516.1,516.1,,,
PLAC,6.1,83.9,236.7,437.9,636.0,831.1,1023.1,1023.1,1023.1,,,
PLOC,5.4,54.3,173.2,363.5,589.9,852.6,1151.5,1486.6,1486.6,,,
PYCA,3.9,39.3,128.4,277.7,461.8,461.8,461.8,461.8,461.8,,,
QURU,12.6,57.7,170.4,390.9,672.3,993.5,1333.3,1333.3,1333.3,,,
ROPS,10.0,46.1,94.6,163.5,237.5,316.9,402.0,493.5,591.6,,,
TIAM,4.2,35.9,99.8,224.0,404.5,654.6,654.6,654.6,654.6,,,
ULPU,5.6,88.0,213.5,384.2,559.0,737.6,920.3,1106.9,1297.5,,,
BDL OTHER,4.2,48.0,140.1,293.6,482.0,705.3,963.7,963.7,963.7,,,
BDM OTHER,4.2,42.0,130.5,267.1,409.3,551.7,551.7,551.7,551.7,,,
BDS OTHER,4.5,28.0,87.3,176.5,229.5,229.5,229.5,229.5,229.5,,,
CEL OTHER,8.0,31.3,84.2,188.5,331.2,512.4,512.4,512.4,512.4,,,
CEM OTHER,1.8,22.1,87.0,217.8,371.0,516.1,516.1,516.1,516.1,,,
CES OTHER,0.3,1.0,8.2,28.5,28.5,28.5,28.5,28.5,28.5,,,
,3,4,5,6,7,8,9,10,11,,,
,,,,,,,,,,,,
,Leaf Surface Area (m2/tree),,,,,,0,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,
