,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACPL,8.6,28.3,68.8,112.5,126.6,81.6,-33.0,-33.4,-33.4,,,,
ACSA1,7.6,31.8,72.0,-8.8,-18.5,-32.7,-51.6,-75.6,-105.0,,,,
ACSA2,5.5,25.8,56.9,92.0,105.0,72.0,-33.0,-33.4,-33.7,,,,
CASP,2.3,13.3,27.1,40.7,47.2,48.4,44.6,36.7,-30.5,,,,
CR,4.4,20.7,41.9,57.0,-10.1,-10.1,-10.1,-10.1,-10.1,,,,
FRAM,2.8,13.6,43.0,88.9,136.3,176.6,204.8,218.2,-65.8,,,,
FRPE,2.2,11.5,32.4,59.2,81.4,91.0,89.0,-41.3,-41.6,,,,
GLTR,2.3,22.2,47.1,64.3,69.2,62.8,48.1,-45.3,-45.6,,,,
ILOP,2.6,11.9,34.9,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,,,,
JUNI,0.8,15.7,48.1,87.1,114.1,129.1,132.1,122.2,-79.4,,,,
LIST,1.4,11.8,25.2,37.7,41.8,39.0,-18.5,-18.9,-19.2,,,,
MA2,3.6,18.7,53.0,93.3,126.1,-16.3,-16.3,-16.3,-16.3,,,,
PIED,0.7,3.7,7.9,2.5,-3.6,-3.6,-3.6,-3.6,-3.6,,,,
PIPU,1.1,6.5,17.0,28.5,35.0,35.0,-14.6,-15.0,-15.3,,,,
PISY,1.0,7.0,20.1,38.0,54.9,66.5,-13.3,-13.3,-13.3,,,,
PLAC,5.8,19.8,45.4,64.6,66.8,56.3,36.9,-37.2,-37.5,,,,
PLOC,2.0,17.0,42.6,76.3,100.1,112.6,115.3,108.7,-58.3,,,,
PYCA,3.8,19.8,64.3,144.3,273.2,-14.8,-14.8,-14.8,-14.8,,,,
QURU,6.8,31.8,64.5,94.9,105.2,101.4,85.7,-56.6,-57.0,,,,
ROPS,4.3,23.3,61.4,107.8,140.0,161.8,173.4,175.4,169.1,,,,
TIAM,4.2,24.0,41.1,48.4,41.9,26.4,-26.9,-27.2,-27.2,,,,
ULPU,1.5,15.2,47.7,95.7,137.1,170.9,193.4,204.1,199.0,,,,
BDL OTHER,2.2,11.5,32.4,59.2,81.4,91.0,89.0,-41.3,-41.6,,,,
BDM OTHER,8.6,28.3,68.8,112.5,126.6,81.6,-33.0,-33.4,-33.4,,,,
BDS OTHER,3.6,18.7,53.0,93.3,126.1,-16.3,-16.3,-16.3,-16.3,,,,
CEL OTHER,1.1,6.5,17.0,28.5,35.0,35.0,-14.6,-15.0,-15.3,,,,
CEM OTHER,1.0,7.0,20.1,38.0,54.9,66.5,-13.3,-13.3,-13.3,,,,
CES OTHER,0.7,3.7,7.9,2.5,-3.6,-3.6,-3.6,-3.6,-3.6,,,,
,2,3,4,5,6,7,8,9,10,,,,
,,,,,,,,,,,,,
0,CO2 Sequestered less Releases(kg/tree),,,,,,0,,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,,
