,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0031,0.0327,0.0923,0.1583,0.2016,0.2245,0.2245,0.2245,0.2245
ACSA1,0.0300,0.0545,0.0968,0.1527,0.1974,0.2247,0.2346,0.2297,0.2121
ACSA2,0.0042,0.0392,0.1038,0.1710,0.2114,0.2303,0.2303,0.2303,0.2303
CASP,0.0148,0.0288,0.0554,0.0954,0.1335,0.1663,0.1919,0.2099,0.2099
CR,0.0075,0.0401,0.0846,0.1274,0.1274,0.1274,0.1274,0.1274,0.1274
FRAM,0.0053,0.0459,0.1152,0.1828,0.2194,0.2333,0.2322,0.2202,0.2202
FRPE,0.0035,0.0361,0.1001,0.1690,0.2112,0.2308,0.2342,0.2342,0.2342
GLTR,0.0056,0.0509,0.1257,0.1916,0.2180,0.2168,0.1955,0.1955,0.1955
ILOP,0.0074,0.0212,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509
JUNI,0.0069,0.0494,0.1151,0.1772,0.2122,0.2282,0.2319,0.2266,0.2266
LIST,0.0032,0.0224,0.0721,0.1441,0.1976,0.2248,0.2248,0.2248,0.2248
MA2,0.0056,0.0367,0.0851,0.1346,0.1702,0.1702,0.1702,0.1702,0.1702
PIED,0.0024,0.0168,0.0412,0.0701,0.0701,0.0701,0.0701,0.0701,0.0701
PIPU,0.0039,0.0233,0.0525,0.0847,0.1104,0.1322,0.1322,0.1322,0.1322
PISY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PLAC,0.0075,0.0567,0.1300,0.1937,0.2232,0.2307,0.2237,0.2237,0.2237
PLOC,0.0025,0.0307,0.0958,0.1705,0.2150,0.2315,0.2273,0.2063,0.2063
PYCA,0.0021,0.0271,0.0863,0.1571,0.2035,0.2035,0.2035,0.2035,0.2035
QURU,0.0056,0.0497,0.1256,0.1959,0.2275,0.2328,0.2193,0.2193,0.2193
ROPS,0.0121,0.0450,0.0820,0.1154,0.1394,0.1576,0.1718,0.1832,0.1925
TIAM,0.0048,0.0240,0.0693,0.1357,0.1882,0.2185,0.2185,0.2185,0.2185
ULPU,0.0145,0.0356,0.0754,0.1288,0.1719,0.2005,0.2167,0.2244,0.2277
BDL OTHER,0.0035,0.0361,0.1001,0.1690,0.2112,0.2308,0.2342,0.2342,0.2342
BDM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BDS OTHER,0.0056,0.0367,0.0851,0.1346,0.1702,0.1702,0.1702,0.1702,0.1702
CEL OTHER,0.0039,0.0233,0.0525,0.0847,0.1104,0.1322,0.1322,0.1322,0.1322
CEM OTHER,0.0033,0.0162,0.0495,0.1072,0.1633,0.2043,0.2043,0.2043,0.2043
CES OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
