,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0002,0.0024,0.0067,0.0115,0.0147,0.0163,0.0163,0.0163,0.0163
ACSA1,0.0022,0.0040,0.0070,0.0111,0.0144,0.0163,0.0170,0.0166,0.0153
ACSA2,0.0003,0.0029,0.0076,0.0124,0.0154,0.0167,0.0167,0.0167,0.0167
CASP,0.0011,0.0021,0.0040,0.0069,0.0097,0.0121,0.0140,0.0153,0.0153
CR,0.0005,0.0029,0.0062,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093
FRAM,0.0004,0.0033,0.0084,0.0133,0.0159,0.0169,0.0168,0.0159,0.0159
FRPE,0.0003,0.0026,0.0073,0.0123,0.0153,0.0168,0.0170,0.0170,0.0170
GLTR,0.0004,0.0037,0.0091,0.0139,0.0158,0.0157,0.0141,0.0141,0.0141
ILOP,0.0005,0.0015,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037
JUNI,0.0005,0.0036,0.0084,0.0129,0.0154,0.0166,0.0168,0.0164,0.0164
LIST,0.0002,0.0016,0.0052,0.0105,0.0144,0.0163,0.0163,0.0163,0.0163
MA2,0.0004,0.0027,0.0062,0.0098,0.0124,0.0124,0.0124,0.0124,0.0124
PIED,0.0002,0.0012,0.0030,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051
PIPU,0.0003,0.0017,0.0038,0.0062,0.0080,0.0096,0.0096,0.0096,0.0096
PISY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PLAC,0.0005,0.0041,0.0095,0.0141,0.0162,0.0167,0.0162,0.0162,0.0162
PLOC,0.0002,0.0022,0.0070,0.0124,0.0156,0.0168,0.0165,0.0149,0.0149
PYCA,0.0002,0.0020,0.0063,0.0114,0.0148,0.0148,0.0148,0.0148,0.0148
QURU,0.0004,0.0036,0.0091,0.0142,0.0165,0.0169,0.0159,0.0159,0.0159
ROPS,0.0009,0.0033,0.0060,0.0084,0.0101,0.0115,0.0125,0.0133,0.0140
TIAM,0.0004,0.0017,0.0050,0.0099,0.0137,0.0159,0.0159,0.0159,0.0159
ULPU,0.0011,0.0026,0.0055,0.0094,0.0125,0.0146,0.0157,0.0163,0.0165
BDL OTHER,0.0003,0.0026,0.0073,0.0123,0.0153,0.0168,0.0170,0.0170,0.0170
BDM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BDS OTHER,0.0004,0.0027,0.0062,0.0098,0.0124,0.0124,0.0124,0.0124,0.0124
CEL OTHER,0.0003,0.0017,0.0038,0.0062,0.0080,0.0096,0.0096,0.0096,0.0096
CEM OTHER,0.0002,0.0012,0.0036,0.0078,0.0119,0.0148,0.0148,0.0148,0.0148
CES OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
