,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0000,0.0000,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
ACSA1,0.0000,0.0001,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
ACSA2,0.0000,0.0000,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
CASP,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002
CR,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
FRAM,0.0000,0.0000,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
FRPE,0.0000,0.0000,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
GLTR,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001
ILOP,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
JUNI,0.0000,0.0000,0.0001,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003
LIST,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
MA2,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
PIED,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PIPU,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001
PISY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PLAC,0.0000,0.0000,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
PLOC,0.0000,0.0000,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
PYCA,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
QURU,0.0000,0.0000,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003
ROPS,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
TIAM,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
ULPU,0.0000,0.0000,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002
BDL OTHER,0.0000,0.0000,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003
BDM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BDS OTHER,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
CEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001
CEM OTHER,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002
CES OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
