,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0000,0.0001,0.0002,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005
ACSA1,0.0001,0.0001,0.0002,0.0003,0.0004,0.0005,0.0006,0.0006,0.0006
ACSA2,0.0000,0.0001,0.0002,0.0004,0.0005,0.0006,0.0006,0.0006,0.0006
CASP,0.0000,0.0001,0.0001,0.0002,0.0003,0.0004,0.0004,0.0005,0.0005
CR,0.0000,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
FRAM,0.0000,0.0001,0.0002,0.0004,0.0005,0.0006,0.0006,0.0007,0.0007
FRPE,0.0000,0.0001,0.0002,0.0004,0.0005,0.0006,0.0006,0.0006,0.0006
GLTR,0.0000,0.0001,0.0002,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004
ILOP,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
JUNI,0.0000,0.0001,0.0002,0.0004,0.0005,0.0005,0.0006,0.0006,0.0006
LIST,0.0000,0.0000,0.0001,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005
MA2,0.0000,0.0001,0.0002,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004
PIED,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
PIPU,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
PISY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PLAC,0.0000,0.0001,0.0002,0.0004,0.0005,0.0005,0.0006,0.0006,0.0006
PLOC,0.0000,0.0000,0.0002,0.0004,0.0005,0.0006,0.0006,0.0006,0.0006
PYCA,0.0000,0.0000,0.0002,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004
QURU,0.0000,0.0001,0.0003,0.0004,0.0005,0.0006,0.0006,0.0006,0.0006
ROPS,0.0000,0.0001,0.0002,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005
TIAM,0.0000,0.0000,0.0001,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005
ULPU,0.0000,0.0001,0.0001,0.0002,0.0003,0.0004,0.0005,0.0005,0.0005
BDL OTHER,0.0000,0.0001,0.0002,0.0004,0.0005,0.0006,0.0006,0.0006,0.0006
BDM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BDS OTHER,0.0000,0.0001,0.0002,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004
CEL OTHER,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002
CEM OTHER,0.0000,0.0000,0.0001,0.0002,0.0003,0.0004,0.0004,0.0004,0.0004
CES OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
