SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
ACPL,Acer platanoides,Norway maple,BDM,ACPL,0.00,,2,B,Property Value,,,,,
ACSA1,Acer saccharinum,Silver maple,BDL,ACSA1,0.00,x,3,C,AQ Ozone dep,,,,,
ACSA2,Acer saccharum,Sugar maple,BDL,ACSA2,0.00,x,4,D,AQ NOx dep,,,,,
CASP,Catalpa speciosa,Northern catalpa,BDL,CASP,0.00,x,5,E,AQ PM10 dep,,,,,
CR,Crataegus sp.,Hawthorn,BDS,CR,0.00,n/a,6,F,AQ SOx dep,,,,,
FRAM,Fraxinus americana,White ash,BDL,FRAM,0.00,x,7,G,AQ NOx avoided,,,,,
FRPE,Fraxinus pennsylvanica,Green ash,BDL,FRPE,0.00,x,8,H,AQ PM10 avoided,,,,,
GLTR,Gleditsia triacanthos,Honeylocust,BDL,GLTR,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
ILOP,Ilex opaca,American holly,BES,ILOP,0.00,n/a,10,J,AQ SOx avoided,,,,,
JUNI,Juglans nigra,Black walnut,BDL,JUNI,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
LIST,Liquidambar styraciflua,Sweetgum,BDL,LIST,0.00,x,12,L,CO2 avoided,,,,,
MA2,Malus sp.,Apple,BDS,MA2,0.00,,13,M,Natural Gas,,,,,
PIED,Pinus edulis,Pinyon pine,CES,PIED,0.00,x,14,N,Electricity,,,,,
PIPU,Picea pungens,Blue spruce,CEL,PIPU,0.00,x,15,O,LSA,,,,,
PISY,Pinus sylvestris,Scotch pine,CEM,PISY,0.00,,16,P,DBH BY AGE CLASS,,,,,
PLAC,Platanus hybrida,London planetree,BDL,PLAC,0.00,,17,Q,Numbers,,,,,
PLOC,Platanus occidentalis,American sycamore,BDL,PLOC,0.00,,,R,Species Codes,,,,,
PYCA,Pyrus calleryana,Callery pear,BDM,PYCA,0.00,,,S,Interpolation range,,,,,
QURU,Quercus rubra,Northern red oak,BDL,QURU,0.00,,,,,,,,,
ROPS,Robinia pseudoacacia,Black locust,BDL,ROPS,0.00,,,,,,,,,
TIAM,Tilia americana,American basswood,BDL,TIAM,0.00,,,,,,,,,
ULPU,Ulmus pumila,Siberian elm,BDL,ULPU,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,FRPE,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,ACPL,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,MA2,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIPU,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PISY,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PIED,0.00,,,,,,,,,
