,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0002,0.0017,0.0049,0.0083,0.0106,0.0118,0.0118,0.0118,0.0118
ACSA1,0.0016,0.0029,0.0051,0.0080,0.0104,0.0118,0.0123,0.0121,0.0111
ACSA2,0.0002,0.0021,0.0055,0.0090,0.0111,0.0121,0.0121,0.0121,0.0121
CASP,0.0008,0.0015,0.0029,0.0050,0.0070,0.0088,0.0101,0.0111,0.0111
CR,0.0004,0.0021,0.0045,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067
FRAM,0.0003,0.0024,0.0061,0.0096,0.0116,0.0123,0.0122,0.0116,0.0116
FRPE,0.0002,0.0019,0.0053,0.0089,0.0111,0.0121,0.0123,0.0123,0.0123
GLTR,0.0003,0.0027,0.0066,0.0101,0.0115,0.0114,0.0103,0.0103,0.0103
ILOP,0.0004,0.0011,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
JUNI,0.0004,0.0026,0.0061,0.0093,0.0112,0.0120,0.0122,0.0119,0.0119
LIST,0.0002,0.0012,0.0038,0.0076,0.0104,0.0118,0.0118,0.0118,0.0118
MA2,0.0003,0.0019,0.0045,0.0071,0.0090,0.0090,0.0090,0.0090,0.0090
PIED,0.0001,0.0009,0.0022,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037
PIPU,0.0002,0.0012,0.0028,0.0045,0.0058,0.0070,0.0070,0.0070,0.0070
PISY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PLAC,0.0004,0.0030,0.0069,0.0102,0.0117,0.0121,0.0118,0.0118,0.0118
PLOC,0.0001,0.0016,0.0051,0.0090,0.0113,0.0122,0.0119,0.0108,0.0108
PYCA,0.0001,0.0014,0.0045,0.0083,0.0107,0.0107,0.0107,0.0107,0.0107
QURU,0.0003,0.0026,0.0066,0.0103,0.0120,0.0122,0.0115,0.0115,0.0115
ROPS,0.0006,0.0024,0.0043,0.0061,0.0073,0.0083,0.0091,0.0097,0.0101
TIAM,0.0003,0.0013,0.0037,0.0071,0.0099,0.0115,0.0115,0.0115,0.0115
ULPU,0.0008,0.0019,0.0040,0.0068,0.0091,0.0106,0.0114,0.0118,0.0120
BDL OTHER,0.0002,0.0019,0.0053,0.0089,0.0111,0.0121,0.0123,0.0123,0.0123
BDM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BDS OTHER,0.0003,0.0019,0.0045,0.0071,0.0090,0.0090,0.0090,0.0090,0.0090
CEL OTHER,0.0002,0.0012,0.0028,0.0045,0.0058,0.0070,0.0070,0.0070,0.0070
CEM OTHER,0.0002,0.0009,0.0026,0.0056,0.0086,0.0108,0.0108,0.0108,0.0108
CES OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
