#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.002,0.004,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CAEQ,0.001,0.003,0.007,0.013,0.020,0.027,0.035,0.042,0.049
CAIN4,0.000,0.003,0.009,0.019,0.030,0.041,0.052,0.052,0.052
CANE33,0.001,0.005,0.013,0.025,0.036,0.046,0.056,0.056,0.056
CISP2,0.001,0.005,0.011,0.019,0.019,0.019,0.019,0.019,0.019
COERA2,0.000,0.003,0.007,0.012,0.018,0.023,0.028,0.032,0.037
COSU2,0.000,0.003,0.008,0.015,0.015,0.015,0.015,0.015,0.015
DERE,0.000,0.003,0.009,0.017,0.025,0.033,0.033,0.033,0.033
ELOR2,0.000,0.002,0.007,0.014,0.021,0.028,0.028,0.028,0.028
FIBE,0.000,0.003,0.015,0.040,0.072,0.109,0.148,0.190,0.234
FIDE6,0.001,0.003,0.009,0.021,0.038,0.038,0.038,0.038,0.038
ILPA2,0.000,0.002,0.006,0.010,0.010,0.010,0.010,0.010,0.010
LASP,0.001,0.004,0.010,0.019,0.027,0.034,0.034,0.034,0.034
MEQU,0.000,0.002,0.004,0.007,0.010,0.013,0.015,0.015,0.015
PISA2,0.000,0.003,0.011,0.028,0.049,0.072,0.096,0.122,0.148
SWMA,0.003,0.005,0.008,0.014,0.022,0.033,0.047,0.047,0.047
TAAR,0.000,0.002,0.006,0.015,0.015,0.015,0.015,0.015,0.015
TACH,0.001,0.005,0.015,0.029,0.043,0.057,0.071,0.071,0.071
TAPA,0.000,0.002,0.006,0.013,0.020,0.027,0.034,0.034,0.034
PIRA,0.002,0.004,0.008,0.017,0.028,0.040,0.055,0.071,0.088
PIBR2,0.000,0.002,0.006,0.012,0.018,0.018,0.018,0.018,0.018
PICO5,0.000,0.002,0.006,0.015,0.015,0.015,0.015,0.015,0.015
CONU,0.001,0.004,0.007,0.009,0.009,0.007,0.004,0.003,0.003
PHDA4,0.000,0.003,0.005,0.006,0.007,0.009,0.013,0.013,0.013
VEME,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BDL OTHER,0.000,0.003,0.011,0.028,0.049,0.072,0.096,0.122,0.148
BDM OTHER,0.001,0.005,0.013,0.025,0.036,0.046,0.056,0.056,0.056
BDS OTHER,0.000,0.003,0.009,0.017,0.025,0.033,0.033,0.033,0.033
BEL OTHER,0.000,0.003,0.015,0.040,0.072,0.109,0.148,0.190,0.234
BEM OTHER,0.001,0.005,0.011,0.019,0.019,0.019,0.019,0.019,0.019
BES OTHER,0.002,0.004,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CEL OTHER,0.002,0.004,0.008,0.017,0.028,0.040,0.055,0.071,0.088
CEM OTHER,0.000,0.002,0.006,0.012,0.018,0.018,0.018,0.018,0.018
CES OTHER,0.000,0.002,0.006,0.015,0.015,0.015,0.015,0.015,0.015
PEL OTHER,0.001,0.004,0.007,0.009,0.009,0.007,0.004,0.003,0.003
PEM OTHER,0.000,0.003,0.005,0.006,0.007,0.009,0.013,0.013,0.013
PES OTHER,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Deposition (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
