#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.014,0.034,0.079,0.079,0.079,0.079,0.079,0.079,0.079
CAEQ,0.011,0.024,0.051,0.097,0.151,0.210,0.269,0.326,0.378
CAIN4,0.002,0.021,0.069,0.146,0.230,0.314,0.399,0.399,0.399
CANE33,0.005,0.039,0.104,0.194,0.281,0.365,0.444,0.444,0.444
CISP2,0.006,0.035,0.085,0.147,0.147,0.147,0.147,0.147,0.147
COERA2,0.003,0.020,0.052,0.095,0.137,0.177,0.214,0.250,0.285
COSU2,0.002,0.021,0.058,0.113,0.113,0.113,0.113,0.113,0.113
DERE,0.003,0.025,0.070,0.134,0.198,0.260,0.260,0.260,0.260
ELOR2,0.002,0.017,0.053,0.108,0.164,0.219,0.219,0.219,0.219
FIBE,0.001,0.025,0.117,0.311,0.558,0.840,1.147,1.472,1.811
FIDE6,0.006,0.024,0.070,0.164,0.292,0.292,0.292,0.292,0.292
ILPA2,0.002,0.016,0.043,0.081,0.081,0.081,0.081,0.081,0.081
LASP,0.005,0.032,0.082,0.150,0.214,0.274,0.274,0.274,0.274
MEQU,0.002,0.014,0.033,0.056,0.077,0.097,0.115,0.115,0.115
PISA2,0.001,0.019,0.084,0.211,0.367,0.540,0.724,0.915,1.112
SWMA,0.025,0.037,0.061,0.106,0.170,0.255,0.367,0.367,0.367
TAAR,0.002,0.012,0.043,0.112,0.112,0.112,0.112,0.112,0.112
TACH,0.004,0.040,0.115,0.224,0.334,0.441,0.545,0.545,0.545
TAPA,0.001,0.014,0.045,0.097,0.152,0.208,0.264,0.264,0.264
PIRA,0.014,0.031,0.066,0.130,0.213,0.312,0.425,0.549,0.683
PIBR2,0.003,0.015,0.044,0.091,0.136,0.136,0.136,0.136,0.136
PICO5,0.003,0.015,0.049,0.114,0.114,0.114,0.114,0.114,0.114
CONU,0.004,0.029,0.056,0.071,0.068,0.053,0.034,0.021,0.021
PHDA4,0.004,0.021,0.037,0.048,0.056,0.071,0.102,0.102,0.102
VEME,0.008,0.017,0.008,0.005,0.005,0.005,0.005,0.005,0.005
BDL OTHER,0.001,0.019,0.084,0.211,0.367,0.540,0.724,0.915,1.112
BDM OTHER,0.005,0.039,0.104,0.194,0.281,0.365,0.444,0.444,0.444
BDS OTHER,0.003,0.025,0.070,0.134,0.198,0.260,0.260,0.260,0.260
BEL OTHER,0.001,0.025,0.117,0.311,0.558,0.840,1.147,1.472,1.811
BEM OTHER,0.006,0.035,0.085,0.147,0.147,0.147,0.147,0.147,0.147
BES OTHER,0.014,0.034,0.079,0.079,0.079,0.079,0.079,0.079,0.079
CEL OTHER,0.014,0.031,0.066,0.130,0.213,0.312,0.425,0.549,0.683
CEM OTHER,0.003,0.015,0.044,0.091,0.136,0.136,0.136,0.136,0.136
CES OTHER,0.003,0.015,0.049,0.114,0.114,0.114,0.114,0.114,0.114
PEL OTHER,0.004,0.029,0.056,0.071,0.068,0.053,0.034,0.021,0.021
PEM OTHER,0.004,0.021,0.037,0.048,0.056,0.071,0.102,0.102,0.102
PES OTHER,0.008,0.017,0.008,0.005,0.005,0.005,0.005,0.005,0.005
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Ozone Deposition (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
