#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.009,0.022,0.052,0.052,0.052,0.052,0.052,0.052,0.052
CAEQ,0.007,0.016,0.033,0.063,0.099,0.137,0.176,0.213,0.247
CAIN4,0.001,0.014,0.045,0.096,0.150,0.205,0.260,0.260,0.260
CANE33,0.003,0.025,0.067,0.126,0.182,0.236,0.287,0.287,0.287
CISP2,0.004,0.023,0.055,0.096,0.096,0.096,0.096,0.096,0.096
COERA2,0.002,0.013,0.034,0.062,0.089,0.115,0.140,0.163,0.186
COSU2,0.002,0.013,0.038,0.074,0.074,0.074,0.074,0.074,0.074
DERE,0.002,0.016,0.045,0.087,0.128,0.168,0.168,0.168,0.168
ELOR2,0.001,0.011,0.035,0.070,0.107,0.143,0.143,0.143,0.143
FIBE,0.001,0.016,0.076,0.203,0.364,0.548,0.749,0.961,1.182
FIDE6,0.004,0.015,0.046,0.107,0.190,0.190,0.190,0.190,0.190
ILPA2,0.001,0.010,0.028,0.053,0.053,0.053,0.053,0.053,0.053
LASP,0.003,0.021,0.053,0.097,0.139,0.178,0.178,0.178,0.178
MEQU,0.002,0.009,0.021,0.037,0.050,0.063,0.075,0.075,0.075
PISA2,0.001,0.013,0.057,0.144,0.250,0.368,0.493,0.623,0.757
SWMA,0.016,0.024,0.040,0.069,0.111,0.167,0.239,0.239,0.239
TAAR,0.001,0.008,0.028,0.073,0.073,0.073,0.073,0.073,0.073
TACH,0.003,0.026,0.075,0.146,0.218,0.288,0.356,0.356,0.356
TAPA,0.001,0.009,0.030,0.063,0.099,0.136,0.172,0.172,0.172
PIRA,0.009,0.020,0.043,0.085,0.139,0.204,0.277,0.358,0.446
PIBR2,0.002,0.010,0.029,0.060,0.089,0.089,0.089,0.089,0.089
PICO5,0.002,0.010,0.032,0.074,0.074,0.074,0.074,0.074,0.074
CONU,0.003,0.019,0.037,0.046,0.044,0.034,0.022,0.014,0.014
PHDA4,0.002,0.014,0.024,0.031,0.037,0.046,0.066,0.066,0.066
VEME,0.006,0.011,0.005,0.003,0.003,0.003,0.003,0.003,0.003
BDL OTHER,0.001,0.013,0.057,0.144,0.250,0.368,0.493,0.623,0.757
BDM OTHER,0.003,0.025,0.067,0.126,0.182,0.236,0.287,0.287,0.287
BDS OTHER,0.002,0.016,0.045,0.087,0.128,0.168,0.168,0.168,0.168
BEL OTHER,0.001,0.016,0.076,0.203,0.364,0.548,0.749,0.961,1.182
BEM OTHER,0.004,0.023,0.055,0.096,0.096,0.096,0.096,0.096,0.096
BES OTHER,0.009,0.022,0.052,0.052,0.052,0.052,0.052,0.052,0.052
CEL OTHER,0.009,0.020,0.043,0.085,0.139,0.204,0.277,0.358,0.446
CEM OTHER,0.002,0.010,0.029,0.060,0.089,0.089,0.089,0.089,0.089
CES OTHER,0.002,0.010,0.032,0.074,0.074,0.074,0.074,0.074,0.074
PEL OTHER,0.003,0.019,0.037,0.046,0.044,0.034,0.022,0.014,0.014
PEM OTHER,0.002,0.014,0.024,0.031,0.037,0.046,0.066,0.066,0.066
PES OTHER,0.006,0.011,0.005,0.003,0.003,0.003,0.003,0.003,0.003
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Deposition (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
