#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,-0.004,-0.029,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083
CAEQ,-0.087,-1.056,-3.688,-8.169,-13.139,-18.330,-23.622,-28.953,-34.285
CAIN4,-0.027,-0.150,-0.365,-0.648,-0.915,-1.167,-1.406,-1.406,-1.406
CANE33,-0.001,-0.002,-0.004,-0.007,-0.010,-0.014,-0.019,-0.019,-0.019
CISP2,0.000,-0.002,-0.008,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
COERA2,0.000,-0.001,-0.002,-0.004,-0.006,-0.009,-0.012,-0.015,-0.018
COSU2,0.000,0.000,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
DERE,0.000,-0.001,-0.002,-0.003,-0.004,-0.006,-0.006,-0.006,-0.006
ELOR2,0.000,-0.001,-0.003,-0.007,-0.012,-0.019,-0.019,-0.019,-0.019
FIBE,-0.013,-0.038,-0.348,-1.086,-2.067,-3.155,-4.212,-5.100,-5.683
FIDE6,-0.026,-0.279,-0.924,-1.982,-3.128,-3.128,-3.128,-3.128,-3.128
ILPA2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LASP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MEQU,-0.012,-0.081,-0.216,-0.405,-0.591,-0.770,-0.944,-0.944,-0.944
PISA2,0.000,-0.001,-0.002,-0.005,-0.008,-0.012,-0.018,-0.024,-0.031
SWMA,0.000,0.000,-0.001,-0.004,-0.008,-0.014,-0.020,-0.020,-0.020
TAAR,-0.005,-0.021,-0.066,-0.163,-0.163,-0.163,-0.163,-0.163,-0.163
TACH,-0.033,-0.097,-0.189,-0.305,-0.412,-0.511,-0.601,-0.601,-0.601
TAPA,-0.018,-0.056,-0.114,-0.196,-0.283,-0.374,-0.471,-0.471,-0.471
PIRA,-0.005,-0.039,-0.105,-0.197,-0.287,-0.374,-0.458,-0.538,-0.616
PIBR2,-0.002,-0.007,-0.023,-0.061,-0.118,-0.118,-0.118,-0.118,-0.118
PICO5,-0.006,-0.059,-0.231,-0.597,-0.597,-0.597,-0.597,-0.597,-0.597
CONU,-0.025,-0.101,-0.179,-0.234,-0.251,-0.232,-0.188,-0.146,-0.146
PHDA4,-0.024,-0.070,-0.114,-0.157,-0.202,-0.247,-0.296,-0.296,-0.296
VEME,-0.021,-0.045,-0.034,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
BDL OTHER,0.000,-0.001,-0.002,-0.005,-0.008,-0.012,-0.018,-0.024,-0.031
BDM OTHER,-0.001,-0.002,-0.004,-0.007,-0.010,-0.014,-0.019,-0.019,-0.019
BDS OTHER,0.000,-0.001,-0.002,-0.003,-0.004,-0.006,-0.006,-0.006,-0.006
BEL OTHER,-0.013,-0.038,-0.348,-1.086,-2.067,-3.155,-4.212,-5.100,-5.683
BEM OTHER,0.000,-0.002,-0.008,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
BES OTHER,-0.004,-0.029,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083
CEL OTHER,-0.005,-0.039,-0.105,-0.197,-0.287,-0.374,-0.458,-0.538,-0.616
CEM OTHER,-0.002,-0.007,-0.023,-0.061,-0.118,-0.118,-0.118,-0.118,-0.118
CES OTHER,-0.006,-0.059,-0.231,-0.597,-0.597,-0.597,-0.597,-0.597,-0.597
PEL OTHER,-0.025,-0.101,-0.179,-0.234,-0.251,-0.232,-0.188,-0.146,-0.146
PEM OTHER,-0.024,-0.070,-0.114,-0.157,-0.202,-0.247,-0.296,-0.296,-0.296
PES OTHER,-0.021,-0.045,-0.034,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,BVOCs (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
