#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,3.6,10.6,27.2,27.2,27.2,27.2,27.2,27.2,27.2
CAEQ,3.0,10.9,25.9,45.2,65.7,87.0,107.1,126.7,142.8
CAIN4,0.5,7.1,27.2,58.2,89.5,120.5,149.1,149.1,149.1
CANE33,1.4,13.6,40.1,75.7,109.3,139.1,168.1,168.1,168.1
CISP2,1.6,13.0,32.0,54.2,54.2,54.2,54.2,54.2,54.2
COERA2,0.5,5.7,15.4,31.5,48.0,63.6,77.4,89.9,103.0
COSU2,0.5,6.2,20.4,42.5,42.5,42.5,42.5,42.5,42.5
DERE,1.0,7.9,23.3,48.6,74.3,98.5,98.5,98.5,98.5
ELOR2,0.4,5.5,19.8,41.2,62.3,82.5,82.5,82.5,82.5
FIBE,0.0,7.1,41.0,111.7,191.8,279.1,375.4,475.1,582.1
FIDE6,1.5,7.8,26.6,62.6,107.8,107.8,107.8,107.8,107.8
ILPA2,0.5,4.8,15.8,32.7,32.7,32.7,32.7,32.7,32.7
LASP,1.4,12.3,35.4,64.3,90.0,116.5,116.5,116.5,116.5
MEQU,0.7,4.7,11.6,21.3,29.7,37.0,43.3,43.3,43.3
PISA2,0.0,6.0,26.1,67.8,119.2,174.7,235.6,301.0,367.7
SWMA,6.5,10.4,21.4,40.1,63.3,91.7,128.7,128.7,128.7
TAAR,0.5,3.9,15.2,40.4,40.4,40.4,40.4,40.4,40.4
TACH,0.9,13.1,42.6,81.2,117.4,150.2,181.9,181.9,181.9
TAPA,0.0,4.4,17.3,36.6,56.3,75.8,94.7,94.7,94.7
PIRA,3.6,9.7,27.1,54.0,82.0,113.3,146.8,185.9,228.0
PIBR2,1.0,5.5,18.5,37.9,54.3,54.3,54.3,54.3,54.3
PICO5,0.5,4.8,18.2,43.7,43.7,43.7,43.7,43.7,43.7
CONU,0.9,9.1,21.2,26.6,23.6,16.8,10.3,5.9,5.9
PHDA4,0.9,6.6,14.2,18.1,19.4,22.3,30.1,30.2,30.2
VEME,2.2,5.4,2.9,1.5,1.5,1.5,1.5,1.5,1.5
BDL OTHER,0.0,6.0,26.1,67.8,119.2,174.7,235.6,301.0,367.7
BDM OTHER,1.4,13.6,40.1,75.7,109.3,139.1,168.1,168.1,168.1
BDS OTHER,1.0,7.9,23.3,48.6,74.3,98.5,98.5,98.5,98.5
BEL OTHER,0.0,7.1,41.0,111.7,191.8,279.1,375.4,475.1,582.1
BEM OTHER,1.6,13.0,32.0,54.2,54.2,54.2,54.2,54.2,54.2
BES OTHER,3.6,10.6,27.2,27.2,27.2,27.2,27.2,27.2,27.2
CEL OTHER,3.6,9.7,27.1,54.0,82.0,113.3,146.8,185.9,228.0
CEM OTHER,1.0,5.5,18.5,37.9,54.3,54.3,54.3,54.3,54.3
CES OTHER,0.5,4.8,18.2,43.7,43.7,43.7,43.7,43.7,43.7
PEL OTHER,0.9,9.1,21.2,26.6,23.6,16.8,10.3,5.9,5.9
PEM OTHER,0.9,6.6,14.2,18.1,19.4,22.3,30.1,30.2,30.2
PES OTHER,2.2,5.4,2.9,1.5,1.5,1.5,1.5,1.5,1.5
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
