#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.4,8.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7
CAEQ,2.4,11.2,25.4,42.3,59.3,76.4,91.7,105.8,118.2
CAIN4,0.4,6.6,24.9,50.6,75.8,99.5,121.5,121.5,121.5
CANE33,1.0,11.5,33.2,61.2,86.5,108.7,129.9,129.9,129.9
CISP2,1.6,11.8,27.5,45.1,45.1,45.1,45.1,45.1,45.1
COERA2,0.4,4.2,12.6,26.5,39.7,52.0,62.9,73.2,83.3
COSU2,0.5,5.3,17.9,36.4,36.4,36.4,36.4,36.4,36.4
DERE,0.8,6.0,18.8,38.6,58.4,76.9,76.9,76.9,76.9
ELOR2,0.3,5.1,17.8,35.5,52.3,68.2,68.2,68.2,68.2
FIBE,0.2,5.7,34.6,89.2,147.4,209.8,273.7,339.2,406.6
FIDE6,1.4,7.0,23.2,52.3,87.6,87.6,87.6,87.6,87.6
ILPA2,0.4,4.2,14.6,28.9,28.9,28.9,28.9,28.9,28.9
LASP,1.1,10.1,29.1,50.4,70.0,90.6,90.6,90.6,90.6
MEQU,0.8,4.5,10.5,18.6,25.4,31.4,36.2,36.2,36.2
PISA2,0.2,4.1,17.6,44.7,76.8,112.6,150.7,190.7,232.3
SWMA,3.9,7.4,18.5,34.0,51.7,73.6,100.3,100.3,100.3
TAAR,0.3,3.6,13.3,33.5,33.5,33.5,33.5,33.5,33.5
TACH,0.8,11.2,35.6,65.1,91.3,114.3,135.2,135.2,135.2
TAPA,0.2,4.0,15.0,30.9,46.2,61.2,75.7,75.7,75.7
PIRA,2.4,8.4,25.5,47.8,68.7,90.2,113.5,140.1,171.6
PIBR2,0.9,5.6,17.4,34.2,47.4,47.4,47.4,47.4,47.4
PICO5,0.6,4.3,16.4,37.9,37.9,37.9,37.9,37.9,37.9
CONU,0.7,7.8,18.4,21.9,18.2,12.5,7.5,4.1,4.1
PHDA4,0.6,5.3,12.1,14.8,15.1,16.9,21.9,21.8,21.8
VEME,1.4,4.8,2.8,1.5,1.5,1.5,1.5,1.5,1.5
BDL OTHER,0.2,4.1,17.6,44.7,76.8,112.6,150.7,190.7,232.3
BDM OTHER,1.0,11.5,33.2,61.2,86.5,108.7,129.9,129.9,129.9
BDS OTHER,0.8,6.0,18.8,38.6,58.4,76.9,76.9,76.9,76.9
BEL OTHER,0.2,5.7,34.6,89.2,147.4,209.8,273.7,339.2,406.6
BEM OTHER,1.6,11.8,27.5,45.1,45.1,45.1,45.1,45.1,45.1
BES OTHER,2.5,8.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7
CEL OTHER,2.4,8.4,25.5,47.8,68.7,90.2,113.5,140.1,171.6
CEM OTHER,0.9,5.6,17.4,34.2,47.4,47.4,47.4,47.4,47.4
CES OTHER,0.6,4.3,16.4,37.9,37.9,37.9,37.9,37.9,37.9
PEL OTHER,0.7,7.8,18.4,21.9,18.2,12.5,7.5,4.1,4.1
PEM OTHER,0.6,5.3,12.1,14.8,15.1,16.9,21.9,21.8,21.8
PES OTHER,1.4,4.8,2.8,1.5,1.5,1.5,1.5,1.5,1.5
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
