#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,5.1,17.4,46.1,46.1,46.1,46.1,46.1,46.1,46.1
CAEQ,4.8,22.0,51.3,85.9,120.7,155.6,186.8,215.9,241.2
CAIN4,0.7,13.1,50.3,102.8,154.4,202.9,247.9,247.9,247.9
CANE33,2.1,23.3,67.5,124.8,176.6,222.1,265.4,265.4,265.4
CISP2,3.1,24.1,55.8,91.9,91.9,91.9,91.9,91.9,91.9
COERA2,0.8,8.8,25.5,53.7,80.8,105.8,128.1,149.1,169.8
COSU2,0.9,11.1,36.2,73.9,73.9,73.9,73.9,73.9,73.9
DERE,1.7,12.2,38.1,78.6,119.1,157.0,157.0,157.0,157.0
ELOR2,0.6,10.5,35.9,72.0,106.5,139.1,139.1,139.1,139.1
FIBE,0.3,11.6,70.2,182.1,301.3,429.3,560.6,695.3,834.3
FIDE6,2.8,14.0,47.1,106.4,178.6,178.6,178.6,178.6,178.6
ILPA2,0.7,8.6,29.5,58.6,58.6,58.6,58.6,58.6,58.6
LASP,2.2,20.5,59.2,102.9,143.0,185.0,185.0,185.0,185.0
MEQU,1.7,9.3,21.1,37.6,51.6,63.8,73.9,73.9,73.9
PISA2,0.4,8.7,36.1,91.9,158.3,231.9,310.6,393.2,479.0
SWMA,8.0,15.2,37.3,69.2,105.5,150.3,205.1,205.1,205.1
TAAR,0.7,7.6,26.9,68.2,68.2,68.2,68.2,68.2,68.2
TACH,1.6,22.5,72.5,132.9,186.6,234.0,276.9,276.9,276.9
TAPA,0.4,8.2,30.4,62.9,94.2,124.9,154.5,154.5,154.5
PIRA,4.8,16.9,51.5,97.3,140.1,184.4,232.3,286.8,351.2
PIBR2,1.8,11.5,35.2,69.3,96.4,96.4,96.4,96.4,96.4
PICO5,1.2,8.8,33.1,77.1,77.1,77.1,77.1,77.1,77.1
CONU,1.5,16.0,37.3,44.6,37.2,25.5,15.4,8.5,8.5
PHDA4,1.2,10.7,24.6,30.3,30.9,34.5,44.9,44.7,44.7
VEME,2.9,9.8,5.7,3.1,3.1,3.1,3.1,3.1,3.1
BDL OTHER,0.4,8.7,36.1,91.9,158.3,231.9,310.6,393.2,479.0
BDM OTHER,2.1,23.3,67.5,124.8,176.6,222.1,265.4,265.4,265.4
BDS OTHER,1.7,12.2,38.1,78.6,119.1,157.0,157.0,157.0,157.0
BEL OTHER,0.3,11.6,70.2,182.1,301.3,429.3,560.6,695.3,834.3
BEM OTHER,3.1,24.1,55.8,91.9,91.9,91.9,91.9,91.9,91.9
BES OTHER,5.1,17.4,46.1,46.1,46.1,46.1,46.1,46.1,46.1
CEL OTHER,4.8,16.9,51.5,97.3,140.1,184.4,232.3,286.8,351.2
CEM OTHER,1.8,11.5,35.2,69.3,96.4,96.4,96.4,96.4,96.4
CES OTHER,1.2,8.8,33.1,77.1,77.1,77.1,77.1,77.1,77.1
PEL OTHER,1.5,16.0,37.3,44.6,37.2,25.5,15.4,8.5,8.5
PEM OTHER,1.2,10.7,24.6,30.3,30.9,34.5,44.9,44.7,44.7
PES OTHER,2.9,9.8,5.7,3.1,3.1,3.1,3.1,3.1,3.1
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
