#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,3.6,13.0,34.3,34.3,34.3,34.3,34.3,34.3,34.3
CAEQ,3.6,16.2,37.7,63.3,89.2,115.3,138.8,160.7,179.7
CAIN4,0.6,9.7,37.2,76.3,114.8,151.2,185.0,185.0,185.0
CANE33,1.6,17.4,50.3,93.2,132.2,166.4,199.1,199.1,199.1
CISP2,2.3,17.8,41.5,68.4,68.4,68.4,68.4,68.4,68.4
COERA2,0.6,6.6,19.1,40.0,60.2,79.0,95.7,111.3,126.8
COSU2,0.7,8.2,26.9,54.9,54.9,54.9,54.9,54.9,54.9
DERE,1.3,9.2,28.5,58.9,89.2,117.7,117.7,117.7,117.7
ELOR2,0.5,7.7,26.6,53.5,79.3,103.7,103.7,103.7,103.7
FIBE,0.2,8.7,52.2,136.1,226.1,323.0,423.1,525.9,632.5
FIDE6,2.1,10.4,34.9,79.3,133.3,133.3,133.3,133.3,133.3
ILPA2,0.5,6.4,21.8,43.4,43.4,43.4,43.4,43.4,43.4
LASP,1.6,15.3,44.2,77.1,107.2,138.7,138.7,138.7,138.7
MEQU,1.2,6.8,15.6,27.9,38.4,47.4,55.0,55.0,55.0
PISA2,0.3,6.6,27.5,70.1,121.1,177.4,237.8,301.3,367.2
SWMA,6.2,11.5,27.7,51.5,78.7,112.3,153.7,153.7,153.7
TAAR,0.5,5.5,20.0,50.9,50.9,50.9,50.9,50.9,50.9
TACH,1.2,16.7,54.0,99.3,139.9,175.8,208.6,208.6,208.6
TAPA,0.3,6.0,22.6,46.8,70.3,93.3,115.5,115.5,115.5
PIRA,3.7,12.6,38.0,72.0,104.3,137.9,174.2,215.7,264.1
PIBR2,1.3,8.4,26.0,51.3,71.5,71.5,71.5,71.5,71.5
PICO5,0.9,6.5,24.5,57.2,57.2,57.2,57.2,57.2,57.2
CONU,1.1,11.9,27.7,33.3,27.9,19.2,11.6,6.4,6.4
PHDA4,0.9,8.0,18.3,22.6,23.1,25.9,33.9,33.8,33.8
VEME,2.2,7.2,4.2,2.3,2.3,2.3,2.3,2.3,2.3
BDL OTHER,0.3,6.6,27.5,70.1,121.1,177.4,237.8,301.3,367.2
BDM OTHER,1.6,17.4,50.3,93.2,132.2,166.4,199.1,199.1,199.1
BDS OTHER,1.3,9.2,28.5,58.9,89.2,117.7,117.7,117.7,117.7
BEL OTHER,0.2,8.7,52.2,136.1,226.1,323.0,423.1,525.9,632.5
BEM OTHER,2.3,17.8,41.5,68.4,68.4,68.4,68.4,68.4,68.4
BES OTHER,3.9,13.0,34.3,34.3,34.3,34.3,34.3,34.3,34.3
CEL OTHER,3.7,12.6,38.0,72.0,104.3,137.9,174.2,215.7,264.1
CEM OTHER,1.3,8.4,26.0,51.3,71.5,71.5,71.5,71.5,71.5
CES OTHER,0.9,6.5,24.5,57.2,57.2,57.2,57.2,57.2,57.2
PEL OTHER,1.1,11.9,27.7,33.3,27.9,19.2,11.6,6.4,6.4
PEM OTHER,0.9,8.0,18.3,22.6,23.1,25.9,33.9,33.8,33.8
PES OTHER,2.2,7.2,4.2,2.3,2.3,2.3,2.3,2.3,2.3
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
