#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
BABL,0.0,0.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,,,
CAEQ,0.1,0.4,1.9,6.1,13.2,23.2,36.2,52.4,71.8,,,,
CAIN4,0.0,0.2,0.9,2.8,5.8,10.1,15.7,15.7,15.7,,,,
CANE33,0.0,0.2,1.2,3.9,8.3,14.4,22.3,22.3,22.3,,,,
CISP2,0.1,0.3,1.4,4.2,4.2,4.2,4.2,4.2,4.2,,,,
COERA2,0.1,0.2,1.0,3.4,7.6,13.8,22.2,32.7,45.2,,,,
COSU2,0.0,0.1,0.7,2.3,2.3,2.3,2.3,2.3,2.3,,,,
DERE,0.0,0.1,0.6,1.7,3.8,6.8,6.8,6.8,6.8,,,,
ELOR2,0.0,0.2,1.3,4.1,8.7,15.3,15.3,15.3,15.3,,,,
FIBE,0.0,0.2,1.1,3.9,8.8,16.3,26.3,39.1,54.8,,,,
FIDE6,0.1,0.3,1.3,4.6,10.1,10.1,10.1,10.1,10.1,,,,
ILPA2,0.0,0.1,0.8,2.6,2.6,2.6,2.6,2.6,2.6,,,,
LASP,0.0,0.2,1.2,3.8,7.8,12.1,12.1,12.1,12.1,,,,
MEQU,0.1,0.2,0.9,3.0,6.5,11.8,18.9,18.9,18.9,,,,
PISA2,0.0,0.4,0.7,2.3,5.1,9.4,15.3,22.8,32.1,,,,
SWMA,0.0,0.1,0.7,2.6,6.0,11.1,18.1,18.1,18.1,,,,
TAAR,0.0,0.2,0.8,2.5,2.5,2.5,2.5,2.5,2.5,,,,
TACH,0.0,0.2,1.0,3.5,7.7,13.7,21.6,21.6,21.6,,,,
TAPA,0.0,0.2,1.0,3.2,6.8,12.1,18.9,18.9,18.9,,,,
PIRA,0.0,0.0,0.2,0.8,2.0,3.9,6.6,10.0,14.1,,,,
PIBR2,0.0,0.1,0.3,1.2,2.7,2.7,2.7,2.7,2.7,,,,
PICO5,0.0,0.0,0.3,1.2,1.2,1.2,1.2,1.2,1.2,,,,
CONU,0.3,0.3,0.5,0.7,0.8,1.0,1.2,1.4,1.5,,,,
PHDA4,0.1,0.3,0.5,0.7,0.8,1.0,1.2,1.2,1.2,,,,
VEME,0.1,0.3,0.5,0.7,0.7,0.7,0.7,0.7,0.7,,,,
BDL OTHER,0.0,0.4,0.7,2.3,5.1,9.4,15.3,22.8,32.1,,,,
BDM OTHER,0.0,0.2,1.2,3.9,8.3,14.4,22.3,22.3,22.3,,,,
BDS OTHER,0.0,0.1,0.6,1.7,3.8,6.8,6.8,6.8,6.8,,,,
BEL OTHER,0.0,0.2,1.1,3.9,8.8,16.3,26.3,39.1,54.8,,,,
BEM OTHER,0.1,0.3,1.4,4.2,4.2,4.2,4.2,4.2,4.2,,,,
BES OTHER,0.0,0.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,,,
CEL OTHER,0.0,0.0,0.2,0.8,2.0,3.9,6.6,10.0,14.1,,,,
CEM OTHER,0.0,0.1,0.3,1.2,2.7,2.7,2.7,2.7,2.7,,,,
CES OTHER,0.0,0.0,0.3,1.2,1.2,1.2,1.2,1.2,1.2,,,,
PEL OTHER,0.3,0.3,0.5,0.7,0.8,1.0,1.2,1.4,1.5,,,,
PEM OTHER,0.1,0.3,0.5,0.7,0.8,1.0,1.2,1.2,1.2,,,,
PES OTHER,0.1,0.3,0.5,0.7,0.7,0.7,0.7,0.7,0.7,,,,
,2,3,4,5,6,7,8,9,10,,,,
,,,,,,,,,,,,,
,CO2 Decomposition (kg/tree),,,,,,0,,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,,
