#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
BABL,4.8,18.6,31.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CAEQ,4.5,19.5,53.6,112.5,176.9,253.0,335.0,420.9,516.7,,,,
CAIN4,2.4,13.2,30.0,51.8,72.3,87.5,98.7,0.0,0.0,,,,
CANE33,3.8,21.7,49.1,80.5,102.0,108.1,87.8,0.0,0.0,,,,
CISP2,6.0,21.1,36.8,17.4,0.0,0.0,0.0,0.0,0.0,,,,
COERA2,3.0,15.8,50.8,131.8,236.6,384.7,517.8,704.1,875.1,,,,
COSU2,2.3,11.0,23.9,30.9,0.0,0.0,0.0,0.0,0.0,,,,
DERE,3.7,11.6,22.4,37.4,44.6,24.7,0.0,0.0,0.0,,,,
ELOR2,2.3,16.6,53.8,125.2,228.1,339.2,0.0,0.0,0.0,,,,
FIBE,1.5,9.6,30.4,63.7,101.8,143.4,187.7,234.1,282.4,,,,
FIDE6,4.2,17.2,46.6,91.2,138.9,0.0,0.0,0.0,0.0,,,,
ILPA2,1.5,6.0,15.6,26.9,0.0,0.0,0.0,0.0,0.0,,,,
LASP,4.0,17.1,46.2,81.6,99.4,86.5,0.0,0.0,0.0,,,,
MEQU,6.7,21.4,46.0,86.0,127.8,172.3,212.6,0.0,0.0,,,,
PISA2,4.9,14.5,37.8,77.7,125.9,180.1,231.7,291.9,352.8,,,,
SWMA,0.9,8.3,25.5,51.7,80.1,104.4,125.2,0.0,0.0,,,,
TAAR,2.9,13.6,26.5,29.3,0.0,0.0,0.0,0.0,0.0,,,,
TACH,2.5,20.7,48.5,81.4,108.4,117.9,96.9,0.0,0.0,,,,
TAPA,2.6,13.6,39.1,77.4,122.6,169.6,221.9,0.0,0.0,,,,
PIRA,0.7,3.6,12.7,30.0,51.7,78.8,104.5,129.8,152.4,,,,
PIBR2,2.7,11.6,34.4,56.4,49.7,0.0,0.0,0.0,0.0,,,,
PICO5,0.7,5.6,14.1,13.4,0.0,0.0,0.0,0.0,0.0,,,,
CONU,14.4,13.2,11.7,10.4,8.9,7.6,6.1,4.6,3.3,,,,
PHDA4,5.9,7.1,7.7,7.7,7.2,6.2,3.4,0.0,0.0,,,,
VEME,11.9,8.3,3.5,1.7,0.0,0.0,0.0,0.0,0.0,,,,
BDL OTHER,4.9,14.5,37.8,77.7,125.9,180.1,231.7,291.9,352.8,,,,
BDM OTHER,3.8,21.7,49.1,80.5,102.0,108.1,87.8,0.0,0.0,,,,
BDS OTHER,3.7,11.6,22.4,37.4,44.6,24.7,0.0,0.0,0.0,,,,
BEL OTHER,1.5,9.6,30.4,63.7,101.8,143.4,187.7,234.1,282.4,,,,
BEM OTHER,6.0,21.1,36.8,17.4,0.0,0.0,0.0,0.0,0.0,,,,
BES OTHER,4.8,18.6,31.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CEL OTHER,0.7,3.6,12.7,30.0,51.7,78.8,104.5,129.8,152.4,,,,
CEM OTHER,2.7,11.6,34.4,56.4,49.7,0.0,0.0,0.0,0.0,,,,
CES OTHER,0.7,5.6,14.1,13.4,0.0,0.0,0.0,0.0,0.0,,,,
PEL OTHER,14.4,13.2,11.7,10.4,8.9,7.6,6.1,4.6,3.3,,,,
PEM OTHER,5.9,7.1,7.7,7.7,7.2,6.2,3.4,0.0,0.0,,,,
PES OTHER,11.9,8.3,3.5,1.7,0.0,0.0,0.0,0.0,0.0,,,,
,2,3,4,5,6,7,8,9,10,,,,
,,,,,,,,,,,,,
0,CO2 Sequestered less Releases(kg/tree),,,,,,0,,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,,
