#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,4.3,12.7,32.4,32.4,32.4,32.4,32.4,32.4,32.4
CAEQ,3.5,13.1,30.9,53.9,78.4,103.7,127.8,151.1,170.3
CAIN4,0.6,8.5,32.4,69.4,106.7,143.7,177.8,177.8,177.8
CANE33,1.6,16.2,47.8,90.3,130.4,165.9,200.5,200.5,200.5
CISP2,1.9,15.5,38.2,64.7,64.7,64.7,64.7,64.7,64.7
COERA2,0.6,6.7,18.4,37.6,57.3,75.9,92.3,107.3,122.8
COSU2,0.6,7.4,24.3,50.6,50.6,50.6,50.6,50.6,50.6
DERE,1.2,9.4,27.8,58.0,88.6,117.5,117.5,117.5,117.5
ELOR2,0.5,6.6,23.6,49.1,74.3,98.4,98.4,98.4,98.4
FIBE,0.0,8.5,48.9,133.2,228.7,332.8,447.6,566.5,694.2
FIDE6,1.8,9.3,31.7,74.6,128.5,128.5,128.5,128.5,128.5
ILPA2,0.6,5.7,18.8,39.0,39.0,39.0,39.0,39.0,39.0
LASP,1.7,14.7,42.2,76.7,107.3,138.9,138.9,138.9,138.9
MEQU,0.9,5.6,13.8,25.4,35.4,44.1,51.6,51.6,51.6
PISA2,0.0,7.1,31.1,80.8,142.2,208.3,281.0,358.9,438.5
SWMA,7.7,12.4,25.5,47.9,75.4,109.3,153.4,153.4,153.4
TAAR,0.5,4.6,18.1,48.2,48.2,48.2,48.2,48.2,48.2
TACH,1.1,15.6,50.8,96.8,140.0,179.1,216.9,216.9,216.9
TAPA,0.0,5.2,20.6,43.7,67.2,90.4,112.9,112.9,112.9
PIRA,4.2,11.6,32.3,64.4,97.8,135.1,175.1,221.7,271.9
PIBR2,1.2,6.6,22.1,45.2,64.8,64.8,64.8,64.8,64.8
PICO5,0.6,5.8,21.7,52.2,52.2,52.2,52.2,52.2,52.2
CONU,1.1,10.8,25.3,31.7,28.2,20.0,12.3,7.0,7.0
PHDA4,1.0,7.8,16.9,21.6,23.1,26.7,35.9,36.0,36.0
VEME,2.6,6.5,3.5,1.8,1.8,1.8,1.8,1.8,1.8
BDL OTHER,0.0,7.1,31.1,80.8,142.2,208.3,281.0,358.9,438.5
BDM OTHER,1.6,16.2,47.8,90.3,130.4,165.9,200.5,200.5,200.5
BDS OTHER,1.2,9.4,27.8,58.0,88.6,117.5,117.5,117.5,117.5
BEL OTHER,0.0,8.5,48.9,133.2,228.7,332.8,447.6,566.5,694.2
BEM OTHER,1.9,15.5,38.2,64.7,64.7,64.7,64.7,64.7,64.7
BES OTHER,4.3,12.7,32.4,32.4,32.4,32.4,32.4,32.4,32.4
CEL OTHER,4.2,11.6,32.3,64.4,97.8,135.1,175.1,221.7,271.9
CEM OTHER,1.2,6.6,22.1,45.2,64.8,64.8,64.8,64.8,64.8
CES OTHER,0.6,5.8,21.7,52.2,52.2,52.2,52.2,52.2,52.2
PEL OTHER,1.1,10.8,25.3,31.7,28.2,20.0,12.3,7.0,7.0
PEM OTHER,1.0,7.8,16.9,21.6,23.1,26.7,35.9,36.0,36.0
PES OTHER,2.6,6.5,3.5,1.8,1.8,1.8,1.8,1.8,1.8
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
