#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,6.1,20.7,55.0,55.0,55.0,55.0,55.0,55.0,55.0
CAEQ,5.7,26.2,61.2,102.5,143.9,185.5,222.8,257.4,287.7
CAIN4,0.9,15.6,60.0,122.6,184.1,241.9,295.6,295.6,295.6
CANE33,2.5,27.8,80.5,148.8,210.6,264.9,316.5,316.5,316.5
CISP2,3.7,28.7,66.5,109.5,109.5,109.5,109.5,109.5,109.5
COERA2,1.0,10.5,30.4,64.1,96.3,126.2,152.8,177.8,202.5
COSU2,1.1,13.3,43.2,88.1,88.1,88.1,88.1,88.1,88.1
DERE,2.0,14.6,45.4,93.8,142.0,187.2,187.2,187.2,187.2
ELOR2,0.8,12.5,42.8,85.9,127.0,165.9,165.9,165.9,165.9
FIBE,0.4,13.8,83.7,217.1,359.3,512.0,668.5,829.2,994.9
FIDE6,3.3,16.7,56.1,126.9,213.0,213.0,213.0,213.0,213.0
ILPA2,0.9,10.3,35.2,69.9,69.9,69.9,69.9,69.9,69.9
LASP,2.6,24.4,70.7,122.8,170.6,220.7,220.7,220.7,220.7
MEQU,2.0,11.0,25.2,44.9,61.5,76.1,88.1,88.1,88.1
PISA2,0.5,10.4,43.1,109.6,188.7,276.5,370.4,468.9,571.2
SWMA,9.5,18.2,44.5,82.6,125.9,179.3,244.6,244.6,244.6
TAAR,0.8,9.0,32.1,81.4,81.4,81.4,81.4,81.4,81.4
TACH,1.9,26.8,86.5,158.4,222.5,279.1,330.2,330.2,330.2
TAPA,0.5,9.7,36.2,75.0,112.3,148.9,184.3,184.3,184.3
PIRA,5.8,20.2,61.4,116.0,167.0,219.9,277.0,342.1,418.8
PIBR2,2.1,13.7,42.0,82.6,115.0,115.0,115.0,115.0,115.0
PICO5,1.4,10.5,39.5,91.9,91.9,91.9,91.9,91.9,91.9
CONU,1.7,19.1,44.4,53.2,44.4,30.5,18.3,10.1,10.1
PHDA4,1.4,12.8,29.4,36.1,36.8,41.1,53.5,53.4,53.4
VEME,3.5,11.7,6.8,3.7,3.7,3.7,3.7,3.7,3.7
BDL OTHER,0.5,10.4,43.1,109.6,188.7,276.5,370.4,468.9,571.2
BDM OTHER,2.5,27.8,80.5,148.8,210.6,264.9,316.5,316.5,316.5
BDS OTHER,2.0,14.6,45.4,93.8,142.0,187.2,187.2,187.2,187.2
BEL OTHER,0.4,13.8,83.7,217.1,359.3,512.0,668.5,829.2,994.9
BEM OTHER,3.7,28.7,66.5,109.5,109.5,109.5,109.5,109.5,109.5
BES OTHER,6.1,20.7,55.0,55.0,55.0,55.0,55.0,55.0,55.0
CEL OTHER,5.8,20.2,61.4,116.0,167.0,219.9,277.0,342.1,418.8
CEM OTHER,2.1,13.7,42.0,82.6,115.0,115.0,115.0,115.0,115.0
CES OTHER,1.4,10.5,39.5,91.9,91.9,91.9,91.9,91.9,91.9
PEL OTHER,1.7,19.1,44.4,53.2,44.4,30.5,18.3,10.1,10.1
PEM OTHER,1.4,12.8,29.4,36.1,36.8,41.1,53.5,53.4,53.4
PES OTHER,3.5,11.7,6.8,3.7,3.7,3.7,3.7,3.7,3.7
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
