#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,4.3,15.5,41.0,41.0,41.0,41.0,41.0,41.0,41.0
CAEQ,4.3,19.3,45.0,75.5,106.4,137.5,165.5,191.6,214.4
CAIN4,0.7,11.6,44.3,91.0,136.9,180.3,220.6,220.6,220.6
CANE33,1.9,20.7,60.0,111.1,157.6,198.5,237.4,237.4,237.4
CISP2,2.7,21.2,49.4,81.6,81.6,81.6,81.6,81.6,81.6
COERA2,0.8,7.9,22.8,47.7,71.8,94.2,114.1,132.8,151.3
COSU2,0.8,9.8,32.0,65.5,65.5,65.5,65.5,65.5,65.5
DERE,1.5,11.0,34.0,70.2,106.4,140.3,140.3,140.3,140.3
ELOR2,0.6,9.2,31.7,63.8,94.6,123.6,123.6,123.6,123.6
FIBE,0.3,10.3,62.3,162.4,269.7,385.1,504.5,627.1,754.3
FIDE6,2.4,12.4,41.7,94.5,159.0,159.0,159.0,159.0,159.0
ILPA2,0.7,7.6,26.0,51.8,51.8,51.8,51.8,51.8,51.8
LASP,1.9,18.2,52.7,92.0,127.9,165.4,165.4,165.4,165.4
MEQU,1.5,8.1,18.7,33.3,45.7,56.6,65.6,65.6,65.6
PISA2,0.3,7.8,32.8,83.7,144.4,211.5,283.6,359.4,437.9
SWMA,7.4,13.7,33.1,61.4,93.9,134.0,183.3,183.3,183.3
TAAR,0.6,6.6,23.8,60.7,60.7,60.7,60.7,60.7,60.7
TACH,1.4,20.0,64.4,118.4,166.8,209.6,248.7,248.7,248.7
TAPA,0.3,7.2,26.9,55.8,83.8,111.3,137.8,137.8,137.8
PIRA,4.4,15.0,45.3,85.9,124.3,164.5,207.7,257.2,315.0
PIBR2,1.6,10.0,31.0,61.1,85.3,85.3,85.3,85.3,85.3
PICO5,1.0,7.8,29.3,68.2,68.2,68.2,68.2,68.2,68.2
CONU,1.3,14.2,33.0,39.7,33.3,22.9,13.8,7.6,7.6
PHDA4,1.1,9.5,21.8,26.9,27.6,30.9,40.4,40.3,40.3
VEME,2.7,8.6,5.0,2.7,2.7,2.7,2.7,2.7,2.7
BDL OTHER,0.3,7.8,32.8,83.7,144.4,211.5,283.6,359.4,437.9
BDM OTHER,1.9,20.7,60.0,111.1,157.6,198.5,237.4,237.4,237.4
BDS OTHER,1.5,11.0,34.0,70.2,106.4,140.3,140.3,140.3,140.3
BEL OTHER,0.3,10.3,62.3,162.4,269.7,385.1,504.5,627.1,754.3
BEM OTHER,2.7,21.2,49.4,81.6,81.6,81.6,81.6,81.6,81.6
BES OTHER,4.6,15.5,41.0,41.0,41.0,41.0,41.0,41.0,41.0
CEL OTHER,4.4,15.0,45.3,85.9,124.3,164.5,207.7,257.2,315.0
CEM OTHER,1.6,10.0,31.0,61.1,85.3,85.3,85.3,85.3,85.3
CES OTHER,1.0,7.8,29.3,68.2,68.2,68.2,68.2,68.2,68.2
PEL OTHER,1.3,14.2,33.0,39.7,33.3,22.9,13.8,7.6,7.6
PEM OTHER,1.1,9.5,21.8,26.9,27.6,30.9,40.4,40.3,40.3
PES OTHER,2.7,8.6,5.0,2.7,2.7,2.7,2.7,2.7,2.7
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
