#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.29,1.09,2.79,2.79,2.79,2.79,2.79,2.79,2.79
CAEQ,0.19,0.65,1.65,3.36,5.30,7.38,9.49,11.54,13.50
CAIN4,0.09,0.82,2.42,4.76,7.17,9.55,11.89,11.89,11.89
CANE33,0.26,1.42,3.51,6.49,9.60,12.78,16.01,16.01,16.01
CISP2,0.16,1.24,3.44,6.53,6.53,6.53,6.53,6.53,6.53
COERA2,0.13,0.64,1.55,2.87,4.26,5.72,7.23,8.79,10.40
COSU2,0.09,0.67,2.11,4.76,4.76,4.76,4.76,4.76,4.76
DERE,0.15,0.82,2.05,3.81,5.61,7.44,7.44,7.44,7.44
ELOR2,0.08,0.55,1.70,3.76,6.30,9.24,9.24,9.24,9.24
FIBE,0.06,0.59,3.62,10.41,19.24,29.18,39.46,49.34,58.02
FIDE6,0.16,1.00,3.14,7.08,11.85,11.85,11.85,11.85,11.85
ILPA2,0.08,0.42,1.11,2.16,2.16,2.16,2.16,2.16,2.16
LASP,0.13,1.04,2.94,5.72,8.50,11.19,11.19,11.19,11.19
MEQU,0.08,0.50,1.25,2.23,3.15,4.01,4.83,4.83,4.83
PISA2,0.07,0.72,2.53,6.09,10.60,15.86,21.76,28.24,35.26
SWMA,0.38,0.71,1.78,4.10,7.29,11.37,16.37,16.37,16.37
TAAR,0.08,0.41,1.38,3.52,3.52,3.52,3.52,3.52,3.52
TACH,0.31,1.66,3.96,7.09,10.13,13.04,15.79,15.79,15.79
TAPA,0.10,0.74,1.98,3.82,5.76,7.77,9.82,9.82,9.82
PIRA,0.40,1.51,3.61,7.01,10.89,15.15,19.54,24.06,28.70
PIBR2,0.17,0.71,2.21,5.20,8.72,8.72,8.72,8.72,8.72
PICO5,0.10,0.67,2.36,5.79,5.79,5.79,5.79,5.79,5.79
CONU,0.23,1.27,2.38,3.05,3.09,2.61,1.86,1.27,1.27
PHDA4,0.15,0.61,1.04,1.37,1.68,2.09,2.80,2.80,2.80
VEME,0.36,0.75,0.43,0.29,0.29,0.29,0.29,0.29,0.29
BDL OTHER,0.07,0.72,2.53,6.09,10.60,15.86,21.76,28.24,35.26
BDM OTHER,0.26,1.42,3.51,6.49,9.60,12.78,16.01,16.01,16.01
BDS OTHER,0.15,0.82,2.05,3.81,5.61,7.44,7.44,7.44,7.44
BEL OTHER,0.06,0.59,3.62,10.41,19.24,29.18,39.46,49.34,58.02
BEM OTHER,0.16,1.24,3.44,6.53,6.53,6.53,6.53,6.53,6.53
BES OTHER,0.29,1.09,2.79,2.79,2.79,2.79,2.79,2.79,2.79
CEL OTHER,0.40,1.51,3.61,7.01,10.89,15.15,19.54,24.06,28.70
CEM OTHER,0.17,0.71,2.21,5.20,8.72,8.72,8.72,8.72,8.72
CES OTHER,0.10,0.67,2.36,5.79,5.79,5.79,5.79,5.79,5.79
PEL OTHER,0.23,1.27,2.38,3.05,3.09,2.61,1.86,1.27,1.27
PEM OTHER,0.15,0.61,1.04,1.37,1.68,2.09,2.80,2.80,2.80
PES OTHER,0.36,0.75,0.43,0.29,0.29,0.29,0.29,0.29,0.29
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,H2O Interception per tree (m3),,,,,,Copied from C:\MyFiles\Guidelines\Santa Monica\SantaMonica_G\BasicData\SM Hydrology RU.xls,,
22.86,,,Midpoint of DBH class (cm),,,,,,
