#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.0116,0.0341,0.0870,0.0870,0.0870,0.0870,0.0870,0.0870,0.0870
CAEQ,0.0095,0.0350,0.0830,0.1445,0.2102,0.2781,0.3426,0.4051,0.4566
CAIN4,0.0015,0.0228,0.0870,0.1862,0.2861,0.3853,0.4768,0.4768,0.4768
CANE33,0.0044,0.0436,0.1283,0.2421,0.3496,0.4448,0.5376,0.5376,0.5376
CISP2,0.0051,0.0416,0.1024,0.1734,0.1734,0.1734,0.1734,0.1734,0.1734
COERA2,0.0016,0.0181,0.0494,0.1007,0.1536,0.2034,0.2476,0.2876,0.3293
COSU2,0.0016,0.0199,0.0651,0.1358,0.1358,0.1358,0.1358,0.1358,0.1358
DERE,0.0032,0.0252,0.0746,0.1555,0.2375,0.3151,0.3151,0.3151,0.3151
ELOR2,0.0014,0.0177,0.0633,0.1318,0.1994,0.2638,0.2638,0.2638,0.2638
FIBE,0.0000,0.0227,0.1310,0.3571,0.6133,0.8924,1.2004,1.5192,1.8617
FIDE6,0.0048,0.0251,0.0850,0.2002,0.3446,0.3446,0.3446,0.3446,0.3446
ILPA2,0.0015,0.0152,0.0505,0.1045,0.1045,0.1045,0.1045,0.1045,0.1045
LASP,0.0045,0.0393,0.1131,0.2056,0.2877,0.3725,0.3725,0.3725,0.3725
MEQU,0.0023,0.0149,0.0371,0.0682,0.0949,0.1182,0.1384,0.1384,0.1384
PISA2,0.0001,0.0191,0.0834,0.2167,0.3813,0.5586,0.7535,0.9625,1.1758
SWMA,0.0207,0.0332,0.0683,0.1284,0.2023,0.2932,0.4115,0.4115,0.4115
TAAR,0.0015,0.0123,0.0486,0.1293,0.1293,0.1293,0.1293,0.1293,0.1293
TACH,0.0029,0.0418,0.1362,0.2596,0.3755,0.4803,0.5818,0.5818,0.5818
TAPA,0.0001,0.0141,0.0552,0.1171,0.1801,0.2425,0.3029,0.3029,0.3029
PIRA,0.0114,0.0310,0.0867,0.1728,0.2624,0.3623,0.4695,0.5945,0.7292
PIBR2,0.0032,0.0177,0.0592,0.1212,0.1738,0.1738,0.1738,0.1738,0.1738
PICO5,0.0017,0.0155,0.0583,0.1399,0.1399,0.1399,0.1399,0.1399,0.1399
CONU,0.0028,0.0290,0.0678,0.0849,0.0755,0.0537,0.0330,0.0189,0.0189
PHDA4,0.0028,0.0210,0.0454,0.0580,0.0621,0.0715,0.0964,0.0964,0.0964
VEME,0.0070,0.0174,0.0093,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048
BDL OTHER,0.0001,0.0191,0.0834,0.2167,0.3813,0.5586,0.7535,0.9625,1.1758
BDM OTHER,0.0044,0.0436,0.1283,0.2421,0.3496,0.4448,0.5376,0.5376,0.5376
BDS OTHER,0.0032,0.0252,0.0746,0.1555,0.2375,0.3151,0.3151,0.3151,0.3151
BEL OTHER,0.0000,0.0227,0.1310,0.3571,0.6133,0.8924,1.2004,1.5192,1.8617
BEM OTHER,0.0051,0.0416,0.1024,0.1734,0.1734,0.1734,0.1734,0.1734,0.1734
BES OTHER,0.0116,0.0341,0.0870,0.0870,0.0870,0.0870,0.0870,0.0870,0.0870
CEL OTHER,0.0114,0.0310,0.0867,0.1728,0.2624,0.3623,0.4695,0.5945,0.7292
CEM OTHER,0.0032,0.0177,0.0592,0.1212,0.1738,0.1738,0.1738,0.1738,0.1738
CES OTHER,0.0017,0.0155,0.0583,0.1399,0.1399,0.1399,0.1399,0.1399,0.1399
PEL OTHER,0.0028,0.0290,0.0678,0.0849,0.0755,0.0537,0.0330,0.0189,0.0189
PEM OTHER,0.0028,0.0210,0.0454,0.0580,0.0621,0.0715,0.0964,0.0964,0.0964
PES OTHER,0.0070,0.0174,0.0093,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
