#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.0012,0.0278,0.0726,0.0726,0.0726,0.0726,0.0726,0.0726,0.0726
CAEQ,0.0076,0.0358,0.0812,0.1354,0.1898,0.2444,0.2933,0.3384,0.3781
CAIN4,0.0012,0.0212,0.0796,0.1617,0.2425,0.3182,0.3886,0.3886,0.3886
CANE33,0.0033,0.0367,0.1062,0.1958,0.2767,0.3477,0.4154,0.4154,0.4154
CISP2,0.0050,0.0376,0.0878,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442
COERA2,0.0013,0.0134,0.0404,0.0849,0.1270,0.1661,0.2011,0.2340,0.2663
COSU2,0.0014,0.0170,0.0573,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163
DERE,0.0027,0.0193,0.0602,0.1236,0.1868,0.2460,0.2460,0.2460,0.2460
ELOR2,0.0010,0.0164,0.0568,0.1134,0.1673,0.2183,0.2183,0.2183,0.2183
FIBE,0.0005,0.0181,0.1105,0.2854,0.4714,0.6711,0.8753,1.0847,1.3002
FIDE6,0.0044,0.0222,0.0743,0.1671,0.2800,0.2800,0.2800,0.2800,0.2800
ILPA2,0.0011,0.0135,0.0468,0.0924,0.0924,0.0924,0.0924,0.0924,0.0924
LASP,0.0034,0.0324,0.0931,0.1612,0.2239,0.2897,0.2897,0.2897,0.2897
MEQU,0.0027,0.0144,0.0335,0.0594,0.0812,0.1003,0.1159,0.1159,0.1159
PISA2,0.0007,0.0132,0.0564,0.1430,0.2456,0.3601,0.4820,0.6099,0.7430
SWMA,0.0124,0.0238,0.0590,0.1088,0.1655,0.2355,0.3208,0.3208,0.3208
TAAR,0.0011,0.0115,0.0425,0.1072,0.1072,0.1072,0.1072,0.1072,0.1072
TACH,0.0025,0.0360,0.1139,0.2081,0.2919,0.3657,0.4325,0.4325,0.4325
TAPA,0.0006,0.0128,0.0479,0.0988,0.1477,0.1957,0.2421,0.2421,0.2421
PIRA,0.0075,0.0269,0.0815,0.1530,0.2197,0.2886,0.3630,0.4481,0.5488
PIBR2,0.0028,0.0179,0.0558,0.1092,0.1517,0.1517,0.1517,0.1517,0.1517
PICO5,0.0019,0.0138,0.0525,0.1213,0.1213,0.1213,0.1213,0.1213,0.1213
CONU,0.0023,0.0249,0.0588,0.0700,0.0582,0.0399,0.0240,0.0132,0.0132
PHDA4,0.0019,0.0168,0.0388,0.0475,0.0483,0.0539,0.0701,0.0698,0.0698
VEME,0.0045,0.0155,0.0090,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
BDL OTHER,0.0007,0.0132,0.0564,0.1430,0.2456,0.3601,0.4820,0.6099,0.7430
BDM OTHER,0.0033,0.0367,0.1062,0.1958,0.2767,0.3477,0.4154,0.4154,0.4154
BDS OTHER,0.0027,0.0193,0.0602,0.1236,0.1868,0.2460,0.2460,0.2460,0.2460
BEL OTHER,0.0005,0.0181,0.1105,0.2854,0.4714,0.6711,0.8753,1.0847,1.3002
BEM OTHER,0.0050,0.0376,0.0878,0.1442,0.1442,0.1442,0.1442,0.1442,0.1442
BES OTHER,0.0080,0.0278,0.0726,0.0726,0.0726,0.0726,0.0726,0.0726,0.0726
CEL OTHER,0.0075,0.0269,0.0815,0.1530,0.2197,0.2886,0.3630,0.4481,0.5488
CEM OTHER,0.0028,0.0179,0.0558,0.1092,0.1517,0.1517,0.1517,0.1517,0.1517
CES OTHER,0.0019,0.0138,0.0525,0.1213,0.1213,0.1213,0.1213,0.1213,0.1213
PEL OTHER,0.0023,0.0249,0.0588,0.0700,0.0582,0.0399,0.0240,0.0132,0.0132
PEM OTHER,0.0019,0.0168,0.0388,0.0475,0.0483,0.0539,0.0701,0.0698,0.0698
PES OTHER,0.0045,0.0155,0.0090,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
