#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.0002,0.0047,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
CAEQ,0.0013,0.0060,0.0137,0.0228,0.0320,0.0412,0.0495,0.0571,0.0638
CAIN4,0.0002,0.0036,0.0134,0.0273,0.0409,0.0537,0.0655,0.0655,0.0655
CANE33,0.0006,0.0062,0.0179,0.0330,0.0467,0.0586,0.0700,0.0700,0.0700
CISP2,0.0008,0.0063,0.0148,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243
COERA2,0.0002,0.0023,0.0068,0.0143,0.0214,0.0280,0.0339,0.0395,0.0449
COSU2,0.0002,0.0029,0.0097,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196
DERE,0.0004,0.0033,0.0101,0.0208,0.0315,0.0415,0.0415,0.0415,0.0415
ELOR2,0.0002,0.0028,0.0096,0.0191,0.0282,0.0368,0.0368,0.0368,0.0368
FIBE,0.0001,0.0031,0.0186,0.0481,0.0795,0.1132,0.1476,0.1829,0.2193
FIDE6,0.0007,0.0037,0.0125,0.0282,0.0472,0.0472,0.0472,0.0472,0.0472
ILPA2,0.0002,0.0023,0.0079,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156
LASP,0.0006,0.0055,0.0157,0.0272,0.0378,0.0488,0.0488,0.0488,0.0488
MEQU,0.0005,0.0024,0.0056,0.0100,0.0137,0.0169,0.0195,0.0195,0.0195
PISA2,0.0001,0.0022,0.0095,0.0241,0.0414,0.0607,0.0813,0.1028,0.1253
SWMA,0.0021,0.0040,0.0100,0.0183,0.0279,0.0397,0.0541,0.0541,0.0541
TAAR,0.0002,0.0019,0.0072,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181
TACH,0.0004,0.0061,0.0192,0.0351,0.0492,0.0617,0.0729,0.0729,0.0729
TAPA,0.0001,0.0022,0.0081,0.0167,0.0249,0.0330,0.0408,0.0408,0.0408
PIRA,0.0013,0.0045,0.0137,0.0258,0.0371,0.0487,0.0612,0.0756,0.0925
PIBR2,0.0005,0.0030,0.0094,0.0184,0.0256,0.0256,0.0256,0.0256,0.0256
PICO5,0.0003,0.0023,0.0089,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205
CONU,0.0004,0.0042,0.0099,0.0118,0.0098,0.0067,0.0040,0.0022,0.0022
PHDA4,0.0003,0.0028,0.0065,0.0080,0.0081,0.0091,0.0118,0.0118,0.0118
VEME,0.0008,0.0026,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
BDL OTHER,0.0001,0.0022,0.0095,0.0241,0.0414,0.0607,0.0813,0.1028,0.1253
BDM OTHER,0.0006,0.0062,0.0179,0.0330,0.0467,0.0586,0.0700,0.0700,0.0700
BDS OTHER,0.0004,0.0033,0.0101,0.0208,0.0315,0.0415,0.0415,0.0415,0.0415
BEL OTHER,0.0001,0.0031,0.0186,0.0481,0.0795,0.1132,0.1476,0.1829,0.2193
BEM OTHER,0.0008,0.0063,0.0148,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243
BES OTHER,0.0014,0.0047,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
CEL OTHER,0.0013,0.0045,0.0137,0.0258,0.0371,0.0487,0.0612,0.0756,0.0925
CEM OTHER,0.0005,0.0030,0.0094,0.0184,0.0256,0.0256,0.0256,0.0256,0.0256
CES OTHER,0.0003,0.0023,0.0089,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205
PEL OTHER,0.0004,0.0042,0.0099,0.0118,0.0098,0.0067,0.0040,0.0022,0.0022
PEM OTHER,0.0003,0.0028,0.0065,0.0080,0.0081,0.0091,0.0118,0.0118,0.0118
PES OTHER,0.0008,0.0026,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
