#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,2.7,4.8,4.4,0.0,0.0,0.0,0.0,0.0,0.0
CAEQ,0.8,2.1,3.3,4.2,4.7,5.1,5.4,5.6,5.8
CAIN4,3.1,4.7,4.7,4.2,3.6,3.1,2.7,0.0,0.0
CANE33,6.2,6.6,7.0,7.2,7.0,6.3,4.5,0.0,0.0
CISP2,2.4,5.6,6.0,1.8,0.0,0.0,0.0,0.0,0.0
COERA2,1.2,1.7,2.5,3.6,4.8,6.2,7.4,9.0,10.6
COSU2,1.2,2.9,4.4,4.4,0.0,0.0,0.0,0.0,0.0
DERE,2.8,2.8,2.7,2.5,2.0,0.8,0.0,0.0,0.0
ELOR2,0.5,1.4,3.3,6.4,10.4,14.6,0.0,0.0,0.0
FIBE,0.8,2.6,6.4,9.8,11.7,12.2,11.0,8.4,4.2
FIDE6,1.8,4.7,6.6,7.4,7.6,0.0,0.0,0.0,0.0
ILPA2,0.5,0.6,0.7,0.8,0.0,0.0,0.0,0.0,0.0
LASP,2.1,5.1,6.9,7.5,7.6,7.5,0.0,0.0,0.0
MEQU,1.7,2.8,3.1,2.9,2.7,2.5,2.3,0.0,0.0
PISA2,2.8,3.9,6.0,8.5,11.1,13.7,16.0,18.6,21.2
SWMA,0.1,1.4,3.5,5.5,6.9,7.5,7.8,0.0,0.0
TAAR,1.0,1.7,2.43,2.3,0.0,0.0,0.0,0.0,0.0
TACH,6.1,5.6,4.9,4.1,3.2,2.4,1.4,0.0,0.0
TAPA,3.0,3.1,3.4,3.7,4.1,4.4,4.8,0.0,0.0
PIRA,6.9,10.8,12.1,12.0,11.6,11.1,10.7,10.5,10.3
PIBR2,4.0,9.8,17.8,22.6,18.4,0.0,0.0,0.0,0.0
PICO5,1.8,6.2,9.0,5.3,0.0,0.0,0.0,0.0,0.0
CONU,6.4,8.3,6.2,2.8,0.1,-2.0,-2.3,-0.9,0.0
PHDA4,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.0,0.0
VEME,4.0,0.4,-0.7,0.0,0.0,0.0,0.0,0.0,0.0
BDL OTHER,2.8,3.9,6.0,8.5,11.1,13.7,16.0,18.6,21.2
BDM OTHER,6.2,6.6,7.0,7.2,7.0,6.3,4.5,0.0,0.0
BDS OTHER,2.8,2.8,2.7,2.5,2.0,0.8,0.0,0.0,0.0
BEL OTHER,0.8,2.6,6.4,9.8,11.7,12.2,11.0,8.4,4.2
BEM OTHER,2.4,5.6,6.0,1.8,0.0,0.0,0.0,0.0,0.0
BES OTHER,2.7,4.8,4.4,0.0,0.0,0.0,0.0,0.0,0.0
CEL OTHER,6.9,10.8,12.1,12.0,11.6,11.1,10.7,10.5,10.3
CEM OTHER,4.0,9.8,17.8,22.6,18.4,0.0,0.0,0.0,0.0
CES OTHER,1.8,6.2,9.0,5.3,0.0,0.0,0.0,0.0,0.0
PEL OTHER,6.4,8.3,6.2,2.8,0.1,-2.0,-2.3,-0.9,0.0
PEM OTHER,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.0,0.0
PES OTHER,4.0,0.4,-0.7,0.0,0.0,0.0,0.0,0.0,0.0
,3,4,5,6,7,8,9,10,11
,,,,,,,,,
,Average Annual Change in Other Benefits m2/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
