#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.0014,0.0317,0.0828,0.0828,0.0828,0.0828,0.0828,0.0828,0.0828
CAEQ,0.0086,0.0408,0.0925,0.1543,0.2163,0.2786,0.3344,0.3858,0.4310
CAIN4,0.0013,0.0241,0.0907,0.1843,0.2764,0.3628,0.4430,0.4430,0.4430
CANE33,0.0037,0.0419,0.1210,0.2232,0.3154,0.3964,0.4735,0.4735,0.4735
CISP2,0.0057,0.0429,0.1001,0.1644,0.1644,0.1644,0.1644,0.1644,0.1644
COERA2,0.0015,0.0153,0.0460,0.0967,0.1448,0.1894,0.2292,0.2667,0.3036
COSU2,0.0016,0.0193,0.0653,0.1325,0.1325,0.1325,0.1325,0.1325,0.1325
DERE,0.0030,0.0220,0.0686,0.1409,0.2130,0.2805,0.2805,0.2805,0.2805
ELOR2,0.0011,0.0186,0.0647,0.1292,0.1907,0.2488,0.2488,0.2488,0.2488
FIBE,0.0006,0.0207,0.1260,0.3253,0.5374,0.7650,0.9978,1.2365,1.4822
FIDE6,0.0051,0.0253,0.0847,0.1905,0.3192,0.3192,0.3192,0.3192,0.3192
ILPA2,0.0013,0.0154,0.0534,0.1053,0.1053,0.1053,0.1053,0.1053,0.1053
LASP,0.0039,0.0370,0.1062,0.1837,0.2553,0.3302,0.3302,0.3302,0.3302
MEQU,0.0031,0.0164,0.0382,0.0677,0.0926,0.1143,0.1321,0.1321,0.1321
PISA2,0.0008,0.0150,0.0642,0.1630,0.2800,0.4105,0.5495,0.6953,0.8470
SWMA,0.0141,0.0271,0.0673,0.1240,0.1886,0.2685,0.3657,0.3657,0.3657
TAAR,0.0012,0.0132,0.0485,0.1222,0.1222,0.1222,0.1222,0.1222,0.1222
TACH,0.0029,0.0410,0.1298,0.2373,0.3327,0.4169,0.4930,0.4930,0.4930
TAPA,0.0007,0.0146,0.0546,0.1126,0.1684,0.2231,0.2760,0.2760,0.2760
PIRA,0.0086,0.0306,0.0929,0.1744,0.2505,0.3290,0.4138,0.5108,0.6256
PIBR2,0.0032,0.0204,0.0636,0.1245,0.1729,0.1729,0.1729,0.1729,0.1729
PICO5,0.0021,0.0158,0.0599,0.1383,0.1383,0.1383,0.1383,0.1383,0.1383
CONU,0.0027,0.0284,0.0670,0.0798,0.0664,0.0455,0.0274,0.0150,0.0150
PHDA4,0.0021,0.0191,0.0442,0.0541,0.0551,0.0614,0.0799,0.0796,0.0796
VEME,0.0052,0.0176,0.0103,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
BDL OTHER,0.0008,0.0150,0.0642,0.1630,0.2800,0.4105,0.5495,0.6953,0.8470
BDM OTHER,0.0037,0.0419,0.1210,0.2232,0.3154,0.3964,0.4735,0.4735,0.4735
BDS OTHER,0.0030,0.0220,0.0686,0.1409,0.2130,0.2805,0.2805,0.2805,0.2805
BEL OTHER,0.0006,0.0207,0.1260,0.3253,0.5374,0.7650,0.9978,1.2365,1.4822
BEM OTHER,0.0057,0.0429,0.1001,0.1644,0.1644,0.1644,0.1644,0.1644,0.1644
BES OTHER,0.0091,0.0317,0.0828,0.0828,0.0828,0.0828,0.0828,0.0828,0.0828
CEL OTHER,0.0086,0.0306,0.0929,0.1744,0.2505,0.3290,0.4138,0.5108,0.6256
CEM OTHER,0.0032,0.0204,0.0636,0.1245,0.1729,0.1729,0.1729,0.1729,0.1729
CES OTHER,0.0021,0.0158,0.0599,0.1383,0.1383,0.1383,0.1383,0.1383,0.1383
PEL OTHER,0.0027,0.0284,0.0670,0.0798,0.0664,0.0455,0.0274,0.0150,0.0150
PEM OTHER,0.0021,0.0191,0.0442,0.0541,0.0551,0.0614,0.0799,0.0796,0.0796
PES OTHER,0.0052,0.0176,0.0103,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
