#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.0187,0.0633,0.1680,0.1680,0.1680,0.1680,0.1680,0.1680,0.1680
CAEQ,0.0174,0.0802,0.1871,0.3132,0.4400,0.5672,0.6812,0.7869,0.8795
CAIN4,0.0027,0.0477,0.1834,0.3748,0.5628,0.7396,0.9038,0.9038,0.9038
CANE33,0.0076,0.0850,0.2462,0.4548,0.6437,0.8097,0.9675,0.9675,0.9675
CISP2,0.0114,0.0878,0.2034,0.3349,0.3349,0.3349,0.3349,0.3349,0.3349
COERA2,0.0031,0.0322,0.0931,0.1959,0.2945,0.3858,0.4671,0.5436,0.6191
COSU2,0.0033,0.0406,0.1320,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694
DERE,0.0061,0.0446,0.1389,0.2866,0.4342,0.5723,0.5723,0.5723,0.5723
ELOR2,0.0023,0.0382,0.1308,0.2627,0.3883,0.5071,0.5071,0.5071,0.5071
FIBE,0.0012,0.0423,0.2559,0.6637,1.0983,1.5651,2.0437,2.5349,3.0416
FIDE6,0.0101,0.0511,0.1716,0.3881,0.6511,0.6511,0.6511,0.6511,0.6511
ILPA2,0.0027,0.0314,0.1076,0.2137,0.2137,0.2137,0.2137,0.2137,0.2137
LASP,0.0079,0.0746,0.2160,0.3753,0.5214,0.6746,0.6746,0.6746,0.6746
MEQU,0.0061,0.0337,0.0770,0.1372,0.1882,0.2326,0.2693,0.2693,0.2693
PISA2,0.0015,0.0317,0.1317,0.3352,0.5770,0.8454,1.1323,1.4335,1.7463
SWMA,0.0292,0.0556,0.1360,0.2524,0.3848,0.5480,0.7477,0.7477,0.7477
TAAR,0.0025,0.0275,0.0980,0.2488,0.2488,0.2488,0.2488,0.2488,0.2488
TACH,0.0057,0.0819,0.2644,0.4843,0.6803,0.8531,1.0096,1.0096,1.0096
TAPA,0.0014,0.0297,0.1107,0.2292,0.3434,0.4553,0.5634,0.5634,0.5634
PIRA,0.0176,0.0617,0.1876,0.3546,0.5107,0.6723,0.8467,1.0457,1.2803
PIBR2,0.0064,0.0418,0.1283,0.2526,0.3516,0.3516,0.3516,0.3516,0.3516
PICO5,0.0043,0.0321,0.1208,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809
CONU,0.0053,0.0584,0.1359,0.1626,0.1358,0.0931,0.0560,0.0308,0.0308
PHDA4,0.0043,0.0390,0.0897,0.1104,0.1126,0.1257,0.1637,0.1631,0.1631
VEME,0.0107,0.0356,0.0206,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112
BDL OTHER,0.0015,0.0317,0.1317,0.3352,0.5770,0.8454,1.1323,1.4335,1.7463
BDM OTHER,0.0076,0.0850,0.2462,0.4548,0.6437,0.8097,0.9675,0.9675,0.9675
BDS OTHER,0.0061,0.0446,0.1389,0.2866,0.4342,0.5723,0.5723,0.5723,0.5723
BEL OTHER,0.0012,0.0423,0.2559,0.6637,1.0983,1.5651,2.0437,2.5349,3.0416
BEM OTHER,0.0114,0.0878,0.2034,0.3349,0.3349,0.3349,0.3349,0.3349,0.3349
BES OTHER,0.0187,0.0633,0.1680,0.1680,0.1680,0.1680,0.1680,0.1680,0.1680
CEL OTHER,0.0176,0.0617,0.1876,0.3546,0.5107,0.6723,0.8467,1.0457,1.2803
CEM OTHER,0.0064,0.0418,0.1283,0.2526,0.3516,0.3516,0.3516,0.3516,0.3516
CES OTHER,0.0043,0.0321,0.1208,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809
PEL OTHER,0.0053,0.0584,0.1359,0.1626,0.1358,0.0931,0.0560,0.0308,0.0308
PEM OTHER,0.0043,0.0390,0.0897,0.1104,0.1126,0.1257,0.1637,0.1631,0.1631
PES OTHER,0.0107,0.0356,0.0206,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
