SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
BABL,Bauhinia x blakeana,Hong Kong orchid tree,BES,BABL,0.00,,2,B,Property Value,,,,,
CAEQ,Casuarina equisetifolia,Ironwood,BEL,CAEQ,0.00,x,3,C,AQ Ozone dep,,,,,
CAIN4,Calophyllum inophyllum,Kamani,BEM,CAIN4,0.00,x,4,D,AQ NOx dep,,,,,
CANE33,Cassia x nealiae,Rainbow shower tree,BDM,CANE33,0.00,x,5,E,AQ PM10 dep,,,,,
CISP2,Citharexylum spinosum,Fiddlewood,BEM,CISP2,0.00,n/a,6,F,AQ SOx dep,,,,,
COERA2,Conocarpus erectus var. argenteus,Silver buttonwood,BES,COERA2,0.00,x,7,G,AQ NOx avoided,,,,,
COSU2,Cordia subcordata,Kou,BEL,COSU2,0.00,x,8,H,AQ PM10 avoided,,,,,
DERE,Delonix regia,Royal poinciana,BDS,DERE,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
ELOR2,Elaeodendron orientale,False olive,BES,ELOR2,0.00,n/a,10,J,AQ SOx avoided,,,,,
FIBE,Ficus benjamina,Benjamin fig,BEL,FIBE,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
FIDE6,Filicium decipiens,Fern tree,BEM,FIDE6,0.00,x,12,L,CO2 avoided,,,,,
ILPA2,Ilex paraguariensis,Paraguay-tea,BES,ILPA2,0.00,,13,M,Natural Gas,,,,,
LASP,Lagerstroemia speciosa,Giant crapemyrtle,BDL,LASP,0.00,x,14,N,Electricity,,,,,
MEQU,Melaleuca quinquenervia,Paperbark,BEL,MEQU,0.00,x,15,O,LSA,,,,,
PISA2,Samanea saman,Monkeypod,BDL,PISA2,0.00,,16,P,DBH BY AGE CLASS,,,,,
SWMA,Swietenia mahogani,West Indian mahogany,BEL,SWMA,0.00,,17,Q,Numbers,,,,,
TAAR,Tabebuia aurea,Silver trumpet tree,BEL,TAAR,0.00,,,R,Species Codes,,,,,
TACH,Tabebuia ochracea subsp. neochrysantha,Golden trumpet tree,BEL,TACH,0.00,,,S,Interpolation range,,,,,
TAPA,Tabebuia heterophylla,Pink tecoma,BEL,TAPA,0.00,,,,,,,,,
PIRA,Pinus radiata,Monterey pine,CEL,PIRA,0.00,,,,,,,,,
PIBR2,Pinus brutia,Turkish pine; east mediterranean pine,CEM,PIBR2,0.00,,,,,,,,,
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,0.00,,,,,,,,,
CONU,Cocos nucifera,Coconut palm,PEL,CONU,0.00,,,,,,,,,
PHDA4,Phoenix dactylifera,Date palm,PEM,PHDA4,0.00,,,,,,,,,
VEME,Veitchia merrillii,Manila palm,PES,VEME,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,PISA2,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,CANE33,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,DERE,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,FIBE,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,CISP2,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,BABL,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIRA,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PIBR2,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,CONU,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,PHDA4,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,VEME,0.00,,,,,,,,,
